pulseheight,counts_ch_A,counts_ch_B
3.148648648648649,0,0
3.4459459459459465,0,1
3.743243243243244,0,0
4.040540540540541,0,1
4.337837837837839,1,1
4.635135135135136,1,1
4.932432432432433,1,0
5.229729729729731,0,1
5.527027027027028,0,0
5.8243243243243255,0,1
6.121621621621623,0,2
6.41891891891892,0,4
6.716216216216218,1,1
7.013513513513515,0,0
7.310810810810812,0,1
7.60810810810811,0,0
7.905405405405407,2,0
8.202702702702705,0,1
8.500000000000002,0,0
8.797297297297298,1,0
9.094594594594597,0,1
9.391891891891895,0,0
9.689189189189191,1,0
9.986486486486488,0,0
10.283783783783786,19,3
10.581081081081084,520,265
10.878378378378379,612,404
11.175675675675677,582,344
11.472972972972975,538,294
11.770270270270274,579,302
12.067567567567568,491,297
12.364864864864867,525,268
12.662162162162165,455,288
12.959459459459463,479,244
13.256756756756758,417,222
13.554054054054056,423,195
13.851351351351354,416,179
14.148648648648653,406,171
14.445945945945947,400,162
14.743243243243246,370,170
15.040540540540544,352,141
15.337837837837842,311,156
15.635135135135137,332,166
15.932432432432435,334,126
16.229729729729733,277,155
16.52702702702703,275,120
16.82432432432433,270,154
17.121621621621625,283,104
17.418918918918923,207,112
17.71621621621622,235,120
18.013513513513516,216,116
18.310810810810814,210,94
18.608108108108112,196,104
18.90540540540541,209,111
19.202702702702705,172,92
19.500000000000004,183,79
19.797297297297302,172,119
20.0945945945946,181,94
20.391891891891895,144,77
20.689189189189193,163,76
20.98648648648649,170,90
21.28378378378379,117,91
21.581081081081084,126,80
21.878378378378383,137,81
22.17567567567568,152,98
22.47297297297298,118,79
22.770270270270274,133,67
23.067567567567572,127,91
23.36486486486487,101,61
23.66216216216217,104,71
23.959459459459463,110,66
24.25675675675676,107,56
24.55405405405406,101,47
24.851351351351358,106,52
25.148648648648653,102,47
25.44594594594595,74,59
25.74324324324325,86,56
26.040540540540547,69,53
26.337837837837842,80,67
26.63513513513514,73,49
26.93243243243244,93,54
27.229729729729737,75,37
27.52702702702703,82,35
27.82432432432433,58,56
28.121621621621628,74,39
28.418918918918926,76,35
28.71621621621622,70,46
29.01351351351352,71,47
29.310810810810818,71,41
29.608108108108116,66,47
29.90540540540541,72,37
30.20270270270271,63,40
30.500000000000007,62,34
30.797297297297305,76,46
31.0945945945946,50,43
31.3918918918919,48,48
31.689189189189197,58,41
31.986486486486495,49,40
32.28378378378379,54,28
32.581081081081095,61,34
32.878378378378386,74,20
33.175675675675684,61,43
33.47297297297298,56,27
33.770270270270274,50,32
34.06756756756758,54,30
34.36486486486487,47,31
34.662162162162176,55,39
34.95945945945947,45,41
35.25675675675676,50,37
35.55405405405406,46,27
35.851351351351354,39,32
36.14864864864866,57,49
36.44594594594595,49,29
36.743243243243256,44,26
37.04054054054055,50,33
37.33783783783785,38,28
37.635135135135144,39,19
37.932432432432435,44,39
38.22972972972974,45,31
38.52702702702703,43,27
38.82432432432434,45,36
39.12162162162163,55,26
39.41891891891893,53,22
39.716216216216225,35,23
40.013513513513516,36,33
40.31081081081082,35,23
40.60810810810811,36,22
40.90540540540542,39,14
41.20270270270271,34,20
41.500000000000014,34,23
41.797297297297305,26,25
42.09459459459461,32,27
42.3918918918919,38,21
42.68918918918919,30,27
42.9864864864865,28,12
43.28378378378379,22,22
43.581081081081095,25,15
43.878378378378386,27,18
44.17567567567569,29,30
44.47297297297298,25,27
44.770270270270274,30,23
45.06756756756758,28,15
45.36486486486487,24,22
45.662162162162176,31,26
45.95945945945947,20,18
46.25675675675677,38,14
46.55405405405406,32,24
46.85135135135137,30,28
47.14864864864866,25,15
47.44594594594595,16,25
47.743243243243256,21,19
48.04054054054055,15,20
48.33783783783785,21,14
48.635135135135144,27,15
48.93243243243245,26,16
49.22972972972974,24,21
49.52702702702703,30,18
49.82432432432434,30,8
50.12162162162163,23,16
50.41891891891893,20,14
50.716216216216225,31,18
51.01351351351353,23,15
51.31081081081082,19,14
51.60810810810813,18,18
51.90540540540542,16,14
52.20270270270271,18,12
52.500000000000014,14,8
52.797297297297305,15,9
53.09459459459461,33,14
53.3918918918919,19,16
53.68918918918921,21,11
53.9864864864865,32,14
54.28378378378379,16,14
54.581081081081095,15,12
54.878378378378386,25,18
55.17567567567569,22,13
55.47297297297298,12,13
55.77027027027029,16,9
56.06756756756758,14,12
56.364864864864884,20,11
56.662162162162176,21,10
56.95945945945947,27,14
57.25675675675677,20,10
57.55405405405406,18,10
57.85135135135137,13,6
58.14864864864866,14,5
58.445945945945965,20,5
58.743243243243256,24,4
59.04054054054055,20,7
59.33783783783785,24,11
59.635135135135144,20,7
59.93243243243245,19,3
60.22972972972974,10,5
60.527027027027046,23,6
60.82432432432434,19,2
61.12162162162164,18,7
61.41891891891893,24,6
61.716216216216225,22,3
62.01351351351353,16,7
62.31081081081082,22,4
62.60810810810813,14,5
62.90540540540542,14,4
63.20270270270272,18,7
63.500000000000014,10,4
63.797297297297305,16,9
64.09459459459461,15,1
64.3918918918919,19,8
64.68918918918921,17,3
64.98648648648651,17,4
65.2837837837838,13,6
65.5810810810811,20,2
65.8783783783784,13,6
66.17567567567569,20,6
66.472972972973,12,6
66.77027027027029,16,5
67.06756756756758,15,7
67.36486486486487,12,3
67.66216216216218,16,4
67.95945945945948,18,5
68.25675675675677,18,4
68.55405405405406,15,9
68.85135135135137,19,3
69.14864864864867,12,6
69.44594594594597,11,7
69.74324324324326,18,3
70.04054054054055,15,6
70.33783783783785,15,2
70.63513513513516,13,3
70.93243243243245,16,3
71.22972972972974,22,7
71.52702702702705,15,6
71.82432432432435,19,5
72.12162162162164,14,1
72.41891891891893,16,2
72.71621621621622,19,3
73.01351351351353,18,6
73.31081081081084,11,1
73.60810810810813,15,3
73.90540540540542,15,1
74.20270270270272,7,4
74.50000000000001,16,2
74.79729729729732,14,4
75.09459459459461,23,5
75.3918918918919,15,4
75.68918918918921,13,3
75.98648648648651,11,3
76.2837837837838,13,1
76.5810810810811,14,3
76.87837837837839,17,1
77.17567567567569,10,5
77.472972972973,12,3
77.77027027027029,15,5
78.06756756756758,11,4
78.36486486486488,14,2
78.66216216216219,19,4
78.95945945945948,15,2
79.25675675675677,12,4
79.55405405405406,14,0
79.85135135135137,20,4
80.14864864864867,7,0
80.44594594594597,11,4
80.74324324324326,10,2
81.04054054054056,15,4
81.33783783783787,11,2
81.63513513513516,12,3
81.93243243243245,7,2
82.22972972972974,11,3
82.52702702702705,10,3
82.82432432432435,6,0
83.12162162162164,8,3
83.41891891891893,13,3
83.71621621621624,12,3
84.01351351351353,10,2
84.31081081081084,10,3
84.60810810810813,9,1
84.90540540540542,6,1
85.20270270270272,8,1
85.50000000000003,11,2
85.79729729729732,6,2
86.09459459459461,8,3
86.3918918918919,6,4
86.68918918918921,13,1
86.98648648648651,13,2
87.2837837837838,8,4
87.5810810810811,8,3
87.8783783783784,8,4
88.1756756756757,6,2
88.472972972973,17,2
88.77027027027029,12,3
89.06756756756758,6,1
89.36486486486488,9,1
89.66216216216219,11,0
89.95945945945948,16,3
90.25675675675677,9,2
90.55405405405408,5,1
90.85135135135138,17,3
91.14864864864867,7,3
91.44594594594597,9,1
91.74324324324326,8,3
92.04054054054056,11,3
92.33783783783787,9,1
92.63513513513516,11,0
92.93243243243245,10,0
93.22972972972975,9,0
93.52702702702705,11,3
93.82432432432435,12,1
94.12162162162164,8,2
