pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,79,93
11.972891566265062,76,88
14.954819277108435,78,77
17.936746987951807,70,78
20.918674698795183,87,87
23.900602409638555,93,124
26.88253012048193,127,138
29.864457831325304,115,163
32.846385542168676,165,177
35.82831325301205,210,253
38.81024096385542,236,289
41.7921686746988,249,298
44.774096385542165,298,291
47.756024096385545,337,399
50.737951807228924,380,419
53.71987951807229,426,423
56.70180722891567,454,456
59.683734939759034,483,416
62.665662650602414,433,439
65.6475903614458,401,450
68.62951807228916,452,437
71.61144578313252,434,414
74.59337349397592,459,427
77.57530120481928,408,395
80.55722891566265,377,380
83.53915662650603,352,400
86.52108433734941,362,367
89.50301204819277,356,361
92.48493975903615,332,356
95.46686746987953,353,294
98.4487951807229,278,282
101.43072289156626,280,247
104.41265060240966,211,230
107.39457831325302,214,202
110.37650602409639,196,209
113.35843373493977,201,217
116.34036144578315,182,189
119.32228915662651,184,172
122.30421686746989,144,162
125.28614457831327,143,150
128.26807228915663,145,148
131.25,146,123
134.23192771084337,126,143
137.21385542168676,134,133
140.19578313253012,106,120
143.17771084337352,93,117
146.15963855421688,97,88
149.14156626506025,84,91
152.1234939759036,75,81
155.105421686747,86,85
158.08734939759037,92,70
161.06927710843374,92,77
164.05120481927713,64,67
167.0331325301205,82,82
170.01506024096386,62,59
172.99698795180723,69,83
175.97891566265062,72,62
178.960843373494,72,58
181.94277108433738,61,65
184.92469879518075,74,54
187.9066265060241,61,51
190.88855421686748,63,60
193.87048192771084,62,49
196.85240963855424,53,69
199.8343373493976,51,37
202.816265060241,44,49
205.79819277108436,42,55
208.78012048192772,55,40
211.7620481927711,52,50
214.74397590361446,42,37
217.72590361445785,41,39
220.7078313253012,48,56
223.6897590361446,46,55
226.67168674698797,45,47
229.65361445783134,49,40
232.6355421686747,51,51
235.6174698795181,53,56
238.59939759036146,42,44
241.58132530120483,42,35
244.56325301204822,16,39
247.5451807228916,29,32
250.52710843373495,27,27
253.50903614457832,29,33
256.4909638554217,28,25
259.47289156626505,28,29
262.4548192771084,22,29
265.43674698795184,27,27
268.4186746987952,23,26
271.40060240963857,24,18
274.38253012048193,24,30
277.36445783132535,35,28
280.3463855421687,34,25
283.3283132530121,25,17
286.31024096385545,28,21
289.2921686746988,20,27
292.2740963855422,29,32
295.25602409638554,15,25
298.2379518072289,23,27
301.21987951807233,21,20
304.2018072289157,27,17
307.18373493975906,12,18
310.1656626506024,28,27
313.1475903614458,18,26
316.12951807228916,13,17
319.1114457831326,26,12
322.09337349397595,20,31
325.0753012048193,26,25
