pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,832,792
11.972891566265062,755,759
14.954819277108435,809,841
17.936746987951807,807,796
20.918674698795183,863,731
23.900602409638555,862,864
26.88253012048193,909,943
29.864457831325304,931,1007
32.846385542168676,1018,1001
35.82831325301205,1065,954
38.81024096385542,1053,1079
41.7921686746988,1129,1164
44.774096385542165,1217,1270
47.756024096385545,1328,1251
50.737951807228924,1417,1420
53.71987951807229,1524,1467
56.70180722891567,1677,1559
59.683734939759034,1677,1684
62.665662650602414,1969,1866
65.6475903614458,2124,1980
68.62951807228916,2322,2073
71.61144578313252,2382,2265
74.59337349397592,2677,2416
77.57530120481928,2859,2461
80.55722891566265,2735,2484
83.53915662650603,2686,2422
86.52108433734941,2675,2515
89.50301204819277,2596,2509
92.48493975903615,2546,2492
95.46686746987953,2534,2465
98.4487951807229,2468,2309
101.43072289156626,2429,2285
104.41265060240966,2353,2163
107.39457831325302,2278,2135
110.37650602409639,2153,2052
113.35843373493977,2229,1977
116.34036144578315,2157,1957
119.32228915662651,2120,1967
122.30421686746989,2078,1873
125.28614457831327,2035,1864
128.26807228915663,2067,1828
131.25,2029,1770
134.23192771084337,1940,1689
137.21385542168676,1743,1485
140.19578313253012,1520,1322
143.17771084337352,1347,1135
146.15963855421688,1173,1017
149.14156626506025,1064,920
152.1234939759036,946,812
155.105421686747,930,748
158.08734939759037,890,699
161.06927710843374,800,704
164.05120481927713,844,670
167.0331325301205,786,655
170.01506024096386,751,660
172.99698795180723,740,664
175.97891566265062,682,590
178.960843373494,716,562
181.94277108433738,735,638
184.92469879518075,680,568
187.9066265060241,701,580
190.88855421686748,783,670
193.87048192771084,986,873
196.85240963855424,1419,1289
199.8343373493976,2634,2349
202.816265060241,4645,4028
205.79819277108436,7375,6446
208.78012048192772,10596,8413
211.7620481927711,12038,9360
214.74397590361446,11737,9051
217.72590361445785,9409,7052
220.7078313253012,6149,4585
223.6897590361446,3212,2656
226.67168674698797,1566,1378
229.65361445783134,836,719
232.6355421686747,550,483
235.6174698795181,463,405
238.59939759036146,504,402
241.58132530120483,476,370
244.56325301204822,505,364
247.5451807228916,497,397
250.52710843373495,507,400
253.50903614457832,454,357
256.4909638554217,479,402
259.47289156626505,476,399
262.4548192771084,458,351
265.43674698795184,485,389
268.4186746987952,478,353
271.40060240963857,467,348
274.38253012048193,422,363
277.36445783132535,451,362
280.3463855421687,490,329
283.3283132530121,443,338
286.31024096385545,428,341
289.2921686746988,478,343
292.2740963855422,437,309
295.25602409638554,439,351
298.2379518072289,429,333
301.21987951807233,455,359
304.2018072289157,386,318
307.18373493975906,425,317
310.1656626506024,448,329
313.1475903614458,414,328
316.12951807228916,403,350
319.1114457831326,419,340
322.09337349397595,418,318
325.0753012048193,418,344
328.0572289156627,404,329
331.03915662650604,395,296
334.0210843373494,369,347
337.0030120481928,407,311
339.98493975903614,406,307
342.96686746987956,389,357
345.9487951807229,395,305
348.9307228915663,363,311
351.91265060240966,444,338
354.894578313253,396,324
357.87650602409644,411,329
360.8584337349398,405,325
363.8403614457832,409,288
366.82228915662654,421,325
369.8042168674699,413,367
372.78614457831327,415,338
375.76807228915663,393,368
378.75,390,347
381.7319277108434,425,382
384.7138554216868,385,366
387.69578313253015,430,362
390.6777108433735,397,348
393.6596385542169,437,355
396.64156626506025,443,381
399.62349397590367,459,407
402.60542168674704,394,366
405.5873493975904,459,365
408.56927710843377,435,397
411.55120481927713,440,323
414.5331325301205,399,322
417.51506024096386,352,280
420.4969879518072,332,266
423.47891566265065,323,235
426.460843373494,273,201
429.4427710843374,254,174
432.42469879518075,231,158
435.4066265060241,199,141
438.38855421686753,172,109
441.3704819277109,164,127
444.35240963855426,158,118
447.33433734939763,142,122
450.316265060241,151,105
453.29819277108436,122,88
456.2801204819277,114,78
459.2620481927711,93,98
462.2439759036145,99,78
465.2259036144579,106,86
468.20783132530124,89,67
471.1897590361446,102,84
474.171686746988,93,72
477.15361445783134,89,90
480.13554216867476,119,81
483.1174698795181,138,94
486.0993975903615,184,133
489.08132530120486,255,177
492.0632530120482,319,265
495.0451807228916,462,411
498.02710843373495,673,544
501.0090361445783,849,717
503.99096385542174,1066,896
506.9728915662651,1316,1075
509.95481927710847,1504,1114
512.9367469879518,1467,1160
515.9186746987951,1384,1121
518.9006024096386,1272,1000
521.882530120482,1041,806
524.8644578313254,789,671
527.8463855421687,645,508
530.8283132530121,411,368
533.8102409638554,286,272
536.7921686746988,159,200
539.7740963855422,116,150
542.7560240963855,102,110
545.7379518072289,74,73
548.7198795180723,68,48
551.7018072289158,60,52
554.6837349397591,52,60
557.6656626506025,69,43
560.6475903614459,55,46
563.6295180722892,73,61
566.6114457831326,72,45
569.593373493976,74,48
572.5753012048193,71,43
575.5572289156627,74,48
578.539156626506,72,67
581.5210843373494,71,56
584.5030120481928,75,54
587.4849397590361,62,50
590.4668674698796,67,59
593.448795180723,72,45
596.4307228915663,68,41
599.4126506024097,62,62
602.3945783132531,55,39
605.3765060240964,55,35
608.3584337349398,55,43
611.3403614457832,48,36
614.3222891566265,45,42
617.3042168674699,62,32
620.2861445783133,47,41
623.2680722891566,40,29
626.25,50,31
629.2319277108434,56,31
632.2138554216868,36,34
635.1957831325302,39,24
638.1777108433736,39,24
641.1596385542169,32,24
644.1415662650603,32,23
647.1234939759037,28,26
650.105421686747,44,22
