pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,197,192
11.972891566265062,143,174
14.954819277108435,164,170
17.936746987951807,175,155
20.918674698795183,198,180
23.900602409638555,198,207
26.88253012048193,260,283
29.864457831325304,265,258
32.846385542168676,236,290
35.82831325301205,335,338
38.81024096385542,380,399
41.7921686746988,401,444
44.774096385542165,457,451
47.756024096385545,493,452
50.737951807228924,563,632
53.71987951807229,632,634
56.70180722891567,685,696
59.683734939759034,767,693
62.665662650602414,726,713
65.6475903614458,818,761
68.62951807228916,879,836
71.61144578313252,916,861
74.59337349397592,951,860
77.57530120481928,881,843
80.55722891566265,813,772
83.53915662650603,793,705
86.52108433734941,737,728
89.50301204819277,801,697
92.48493975903615,706,644
95.46686746987953,673,613
98.4487951807229,577,576
101.43072289156626,551,577
104.41265060240966,539,499
107.39457831325302,552,518
110.37650602409639,504,473
113.35843373493977,465,426
116.34036144578315,454,418
119.32228915662651,403,416
122.30421686746989,373,389
125.28614457831327,384,366
128.26807228915663,379,330
131.25,326,271
134.23192771084337,286,270
137.21385542168676,245,261
140.19578313253012,222,248
143.17771084337352,201,198
146.15963855421688,190,216
149.14156626506025,190,182
152.1234939759036,175,165
155.105421686747,141,190
158.08734939759037,157,168
161.06927710843374,139,170
164.05120481927713,128,153
167.0331325301205,147,114
170.01506024096386,133,139
172.99698795180723,130,138
175.97891566265062,113,129
178.960843373494,140,127
181.94277108433738,188,182
184.92469879518075,358,255
187.9066265060241,613,446
190.88855421686748,977,744
193.87048192771084,1282,1069
196.85240963855424,1551,1286
199.8343373493976,1500,1296
202.816265060241,1166,1026
205.79819277108436,690,686
208.78012048192772,352,421
211.7620481927711,176,234
214.74397590361446,85,124
217.72590361445785,90,96
220.7078313253012,101,84
223.6897590361446,65,69
226.67168674698797,97,85
229.65361445783134,97,70
232.6355421686747,94,81
235.6174698795181,76,86
238.59939759036146,70,76
241.58132530120483,80,75
244.56325301204822,77,77
247.5451807228916,63,67
250.52710843373495,60,63
253.50903614457832,60,57
256.4909638554217,70,63
259.47289156626505,63,43
262.4548192771084,50,62
265.43674698795184,48,47
268.4186746987952,66,57
271.40060240963857,56,53
274.38253012048193,43,62
277.36445783132535,66,47
280.3463855421687,62,50
283.3283132530121,39,56
286.31024096385545,63,43
289.2921686746988,59,57
292.2740963855422,55,54
295.25602409638554,71,46
298.2379518072289,76,60
301.21987951807233,56,58
304.2018072289157,59,65
307.18373493975906,69,52
310.1656626506024,66,53
313.1475903614458,53,48
316.12951807228916,51,58
319.1114457831326,55,53
322.09337349397595,60,46
325.0753012048193,51,49
328.0572289156627,69,59
331.03915662650604,58,53
334.0210843373494,53,50
337.0030120481928,74,47
339.98493975903614,56,71
342.96686746987956,68,63
345.9487951807229,55,63
348.9307228915663,46,55
351.91265060240966,60,70
354.894578313253,73,64
357.87650602409644,61,67
360.8584337349398,64,73
363.8403614457832,64,73
366.82228915662654,71,55
369.8042168674699,54,62
372.78614457831327,62,64
375.76807228915663,70,58
378.75,49,51
381.7319277108434,65,61
384.7138554216868,73,60
387.69578313253015,57,27
390.6777108433735,49,47
393.6596385542169,45,36
396.64156626506025,40,35
399.62349397590367,35,39
402.60542168674704,27,26
405.5873493975904,22,18
408.56927710843377,33,24
411.55120481927713,21,23
414.5331325301205,18,28
417.51506024096386,26,18
420.4969879518072,16,26
423.47891566265065,25,24
426.460843373494,16,16
429.4427710843374,18,15
432.42469879518075,16,20
435.4066265060241,20,15
438.38855421686753,15,19
441.3704819277109,15,21
444.35240963855426,26,22
447.33433734939763,23,12
450.316265060241,28,11
453.29819277108436,45,24
456.2801204819277,38,33
459.2620481927711,63,50
462.2439759036145,92,53
465.2259036144579,113,87
468.20783132530124,171,95
471.1897590361446,176,123
474.171686746988,179,183
477.15361445783134,198,163
480.13554216867476,191,174
483.1174698795181,149,159
486.0993975903615,135,135
489.08132530120486,86,119
492.0632530120482,67,83
495.0451807228916,47,75
498.02710843373495,27,50
501.0090361445783,16,20
503.99096385542174,12,21
506.9728915662651,10,11
509.95481927710847,8,9
512.9367469879518,6,5
515.9186746987951,2,6
518.9006024096386,8,8
521.882530120482,7,10
524.8644578313254,11,6
527.8463855421687,18,10
530.8283132530121,11,19
533.8102409638554,17,12
536.7921686746988,17,21
539.7740963855422,24,16
542.7560240963855,23,29
545.7379518072289,29,19
548.7198795180723,21,20
551.7018072289158,18,13
554.6837349397591,15,16
557.6656626506025,8,17
560.6475903614459,13,17
563.6295180722892,10,9
566.6114457831326,6,6
569.593373493976,5,4
572.5753012048193,5,6
575.5572289156627,9,8
578.539156626506,3,4
581.5210843373494,2,3
584.5030120481928,2,1
587.4849397590361,3,2
590.4668674698796,5,3
593.448795180723,3,8
596.4307228915663,8,3
599.4126506024097,2,4
602.3945783132531,5,8
605.3765060240964,6,4
608.3584337349398,7,2
611.3403614457832,6,1
614.3222891566265,1,5
617.3042168674699,5,3
620.2861445783133,0,2
623.2680722891566,1,2
626.25,3,4
629.2319277108434,2,2
632.2138554216868,2,5
635.1957831325302,2,1
638.1777108433736,5,2
641.1596385542169,1,2
644.1415662650603,3,1
647.1234939759037,4,1
650.105421686747,4,3
653.0873493975904,4,7
656.0692771084338,4,5
659.0512048192771,3,3
662.0331325301205,2,2
665.0150602409639,5,1
667.9969879518072,3,1
670.9789156626507,7,4
673.9608433734941,3,3
676.9427710843374,4,2
679.9246987951808,3,2
682.9066265060242,1,3
685.8885542168675,2,0
688.8704819277109,2,3
691.8524096385543,0,0
694.8343373493976,2,2
697.816265060241,2,5
700.7981927710844,3,4
703.7801204819277,4,5
706.7620481927711,1,3
709.7439759036145,0,2
712.7259036144579,3,1
715.7078313253013,0,2
718.6897590361447,1,2
721.671686746988,1,2
724.6536144578314,3,2
727.6355421686748,3,3
730.6174698795181,3,3
733.5993975903615,1,3
736.5813253012049,3,1
739.5632530120482,4,5
742.5451807228916,6,3
745.527108433735,65,189
748.5090361445783,163,78
