pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,79,4
11.972891566265062,71,1
14.954819277108435,73,2
17.936746987951807,61,1
20.918674698795183,74,2
23.900602409638555,92,2
26.88253012048193,122,4
29.864457831325304,106,5
32.846385542168676,154,7
35.82831325301205,184,7
38.81024096385542,227,7
41.7921686746988,229,1
44.774096385542165,238,1
47.756024096385545,328,7
50.737951807228924,368,7
53.71987951807229,393,1
56.70180722891567,427,4
59.683734939759034,393,2
62.665662650602414,422,4
65.6475903614458,406,5
68.62951807228916,388,2
71.61144578313252,403,1
74.59337349397592,393,2
77.57530120481928,402,0
80.55722891566265,378,1
83.53915662650603,322,4
86.52108433734941,339,5
89.50301204819277,349,1
92.48493975903615,321,1
95.46686746987953,334,0
98.4487951807229,254,0
101.43072289156626,259,3
104.41265060240966,221,3
107.39457831325302,207,3
110.37650602409639,212,1
113.35843373493977,177,2
116.34036144578315,154,3
119.32228915662651,166,0
122.30421686746989,150,1
125.28614457831327,169,0
128.26807228915663,137,1
131.25,136,2
134.23192771084337,113,0
137.21385542168676,110,1
140.19578313253012,100,1
143.17771084337352,116,0
146.15963855421688,107,0
149.14156626506025,95,0
152.1234939759036,70,0
155.105421686747,99,0
158.08734939759037,76,3
161.06927710843374,66,0
164.05120481927713,64,0
167.0331325301205,58,0
170.01506024096386,65,0
172.99698795180723,61,0
175.97891566265062,60,0
178.960843373494,57,1
181.94277108433738,45,0
184.92469879518075,58,0
187.9066265060241,52,0
190.88855421686748,70,0
193.87048192771084,48,2
196.85240963855424,62,0
199.8343373493976,49,0
202.816265060241,47,1
205.79819277108436,47,0
208.78012048192772,47,0
211.7620481927711,33,0
214.74397590361446,35,1
217.72590361445785,50,0
220.7078313253012,43,1
223.6897590361446,46,0
226.67168674698797,54,0
229.65361445783134,40,1
232.6355421686747,42,0
235.6174698795181,48,0
238.59939759036146,44,0
241.58132530120483,43,0
244.56325301204822,44,1
247.5451807228916,31,0
250.52710843373495,27,0
253.50903614457832,23,0
256.4909638554217,31,0
259.47289156626505,22,0
262.4548192771084,27,0
265.43674698795184,26,0
268.4186746987952,27,1
271.40060240963857,23,0
274.38253012048193,28,0
277.36445783132535,28,0
280.3463855421687,19,0
283.3283132530121,21,0
286.31024096385545,18,1
289.2921686746988,16,0
292.2740963855422,24,1
295.25602409638554,17,0
298.2379518072289,28,0
301.21987951807233,23,0
304.2018072289157,28,0
307.18373493975906,20,0
310.1656626506024,14,0
313.1475903614458,18,0
316.12951807228916,20,0
319.1114457831326,16,0
322.09337349397595,14,0
325.0753012048193,12,0
328.0572289156627,17,0
331.03915662650604,16,1
334.0210843373494,16,0
337.0030120481928,19,1
339.98493975903614,21,0
342.96686746987956,22,1
345.9487951807229,22,0
348.9307228915663,13,0
351.91265060240966,14,0
354.894578313253,9,0
357.87650602409644,17,0
360.8584337349398,11,0
363.8403614457832,19,0
366.82228915662654,10,0
369.8042168674699,15,0
372.78614457831327,16,0
375.76807228915663,27,0
378.75,15,0
381.7319277108434,13,0
384.7138554216868,17,0
387.69578313253015,12,0
390.6777108433735,11,0
393.6596385542169,7,0
396.64156626506025,9,0
399.62349397590367,8,0
402.60542168674704,12,0
405.5873493975904,9,0
408.56927710843377,14,0
411.55120481927713,16,0
414.5331325301205,12,0
417.51506024096386,12,0
420.4969879518072,18,0
423.47891566265065,11,0
426.460843373494,12,0
429.4427710843374,15,0
432.42469879518075,10,0
435.4066265060241,13,0
438.38855421686753,13,1
441.3704819277109,10,0
444.35240963855426,6,0
447.33433734939763,10,0
450.316265060241,20,1
453.29819277108436,9,0
456.2801204819277,11,0
459.2620481927711,7,1
462.2439759036145,8,0
465.2259036144579,6,0
468.20783132530124,6,0
471.1897590361446,1,0
474.171686746988,10,0
477.15361445783134,3,0
480.13554216867476,12,0
483.1174698795181,9,0
486.0993975903615,10,0
489.08132530120486,4,0
492.0632530120482,10,0
495.0451807228916,9,0
498.02710843373495,5,0
501.0090361445783,4,0
503.99096385542174,6,0
506.9728915662651,4,0
509.95481927710847,6,0
512.9367469879518,7,0
515.9186746987951,8,0
518.9006024096386,10,0
521.882530120482,10,0
524.8644578313254,10,0
527.8463855421687,7,0
530.8283132530121,17,0
533.8102409638554,16,0
536.7921686746988,16,0
539.7740963855422,21,0
542.7560240963855,17,0
545.7379518072289,22,0
548.7198795180723,19,0
551.7018072289158,18,1
554.6837349397591,10,0
557.6656626506025,9,0
560.6475903614459,8,0
563.6295180722892,8,1
566.6114457831326,5,0
569.593373493976,7,0
572.5753012048193,2,0
575.5572289156627,1,0
578.539156626506,4,0
581.5210843373494,2,0
584.5030120481928,2,0
587.4849397590361,4,0
590.4668674698796,3,0
593.448795180723,4,0
596.4307228915663,1,0
599.4126506024097,3,0
602.3945783132531,2,0
605.3765060240964,1,0
608.3584337349398,3,0
611.3403614457832,0,0
614.3222891566265,2,0
617.3042168674699,1,0
620.2861445783133,2,0
623.2680722891566,1,0
626.25,2,0
629.2319277108434,1,0
632.2138554216868,1,0
635.1957831325302,4,0
638.1777108433736,2,0
641.1596385542169,3,0
644.1415662650603,3,0
647.1234939759037,2,0
650.105421686747,5,0
653.0873493975904,2,0
656.0692771084338,2,0
659.0512048192771,2,0
662.0331325301205,2,0
665.0150602409639,1,0
667.9969879518072,1,0
670.9789156626507,5,0
673.9608433734941,4,0
676.9427710843374,2,0
679.9246987951808,0,0
682.9066265060242,1,0
685.8885542168675,2,0
688.8704819277109,3,0
691.8524096385543,0,0
694.8343373493976,2,0
697.816265060241,0,0
700.7981927710844,1,0
703.7801204819277,1,0
706.7620481927711,2,0
709.7439759036145,2,0
712.7259036144579,1,0
715.7078313253013,1,0
718.6897590361447,2,0
721.671686746988,1,0
724.6536144578314,2,0
727.6355421686748,3,0
730.6174698795181,2,0
733.5993975903615,2,0
736.5813253012049,1,0
739.5632530120482,0,0
742.5451807228916,14,0
745.527108433735,85,3
748.5090361445783,120,0
