pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,98,55
11.972891566265062,95,48
14.954819277108435,82,45
17.936746987951807,85,54
20.918674698795183,94,44
23.900602409638555,105,51
26.88253012048193,114,41
29.864457831325304,148,56
32.846385542168676,185,58
35.82831325301205,185,57
38.81024096385542,275,55
41.7921686746988,302,59
44.774096385542165,344,52
47.756024096385545,356,53
50.737951807228924,412,62
53.71987951807229,489,44
56.70180722891567,513,45
59.683734939759034,533,67
62.665662650602414,534,58
65.6475903614458,604,51
68.62951807228916,641,59
71.61144578313252,653,62
74.59337349397592,695,66
77.57530120481928,586,62
80.55722891566265,651,60
83.53915662650603,598,53
86.52108433734941,584,69
89.50301204819277,567,54
92.48493975903615,505,53
95.46686746987953,474,42
98.4487951807229,477,41
101.43072289156626,420,51
104.41265060240966,429,63
107.39457831325302,381,47
110.37650602409639,374,48
113.35843373493977,313,63
116.34036144578315,322,53
119.32228915662651,330,55
122.30421686746989,307,53
125.28614457831327,295,48
128.26807228915663,293,37
131.25,218,31
134.23192771084337,236,23
137.21385542168676,221,17
140.19578313253012,173,21
143.17771084337352,147,13
146.15963855421688,164,8
149.14156626506025,140,11
152.1234939759036,129,16
155.105421686747,132,10
158.08734939759037,132,14
161.06927710843374,93,12
164.05120481927713,116,14
167.0331325301205,132,13
170.01506024096386,96,14
172.99698795180723,101,24
175.97891566265062,104,20
178.960843373494,98,29
181.94277108433738,155,40
184.92469879518075,235,64
187.9066265060241,337,117
190.88855421686748,621,209
193.87048192771084,828,327
196.85240963855424,965,441
199.8343373493976,859,435
202.816265060241,680,388
205.79819277108436,420,275
208.78012048192772,213,178
211.7620481927711,119,87
214.74397590361446,59,37
217.72590361445785,62,13
220.7078313253012,70,2
223.6897590361446,58,2
226.67168674698797,80,1
229.65361445783134,61,1
232.6355421686747,74,3
235.6174698795181,83,1
238.59939759036146,55,1
241.58132530120483,52,0
244.56325301204822,45,3
247.5451807228916,53,1
250.52710843373495,50,1
253.50903614457832,30,2
256.4909638554217,44,0
259.47289156626505,38,1
262.4548192771084,52,1
265.43674698795184,46,2
268.4186746987952,51,0
271.40060240963857,38,0
274.38253012048193,50,2
277.36445783132535,31,0
280.3463855421687,40,0
283.3283132530121,41,0
286.31024096385545,41,0
289.2921686746988,33,0
292.2740963855422,57,0
295.25602409638554,41,1
298.2379518072289,44,2
301.21987951807233,51,0
304.2018072289157,29,2
307.18373493975906,38,0
310.1656626506024,41,3
313.1475903614458,40,0
316.12951807228916,46,0
319.1114457831326,36,2
322.09337349397595,37,0
325.0753012048193,39,2
328.0572289156627,36,1
331.03915662650604,38,0
334.0210843373494,46,1
337.0030120481928,49,1
339.98493975903614,50,2
342.96686746987956,46,0
345.9487951807229,38,1
348.9307228915663,37,2
351.91265060240966,54,0
354.894578313253,44,0
357.87650602409644,44,0
360.8584337349398,52,2
363.8403614457832,38,1
366.82228915662654,43,0
369.8042168674699,38,1
372.78614457831327,47,3
375.76807228915663,44,4
378.75,32,1
381.7319277108434,40,1
384.7138554216868,43,0
387.69578313253015,35,1
390.6777108433735,26,1
393.6596385542169,26,0
396.64156626506025,28,0
399.62349397590367,33,0
402.60542168674704,22,0
405.5873493975904,18,0
408.56927710843377,20,0
411.55120481927713,17,0
414.5331325301205,26,0
417.51506024096386,18,0
420.4969879518072,18,0
423.47891566265065,12,0
426.460843373494,20,0
429.4427710843374,21,0
432.42469879518075,13,0
435.4066265060241,14,0
438.38855421686753,14,0
441.3704819277109,12,1
444.35240963855426,8,1
447.33433734939763,22,0
450.316265060241,21,0
453.29819277108436,26,0
456.2801204819277,36,0
459.2620481927711,62,0
462.2439759036145,60,0
465.2259036144579,71,1
468.20783132530124,91,0
471.1897590361446,107,1
474.171686746988,106,2
477.15361445783134,124,2
480.13554216867476,115,0
483.1174698795181,103,0
486.0993975903615,77,0
489.08132530120486,48,4
492.0632530120482,35,2
495.0451807228916,22,2
498.02710843373495,16,0
501.0090361445783,15,1
503.99096385542174,11,1
506.9728915662651,9,0
509.95481927710847,3,1
512.9367469879518,11,0
515.9186746987951,6,0
518.9006024096386,10,0
521.882530120482,13,0
524.8644578313254,11,0
527.8463855421687,9,0
530.8283132530121,12,1
533.8102409638554,20,0
536.7921686746988,14,0
539.7740963855422,17,0
542.7560240963855,24,0
545.7379518072289,25,1
548.7198795180723,10,0
551.7018072289158,16,0
554.6837349397591,12,1
557.6656626506025,9,0
560.6475903614459,6,0
563.6295180722892,1,1
566.6114457831326,3,0
569.593373493976,7,0
572.5753012048193,6,0
575.5572289156627,1,0
578.539156626506,2,0
581.5210843373494,2,0
584.5030120481928,2,0
587.4849397590361,3,0
590.4668674698796,2,0
593.448795180723,3,0
596.4307228915663,5,0
599.4126506024097,2,0
602.3945783132531,2,0
605.3765060240964,3,0
608.3584337349398,6,1
611.3403614457832,1,0
614.3222891566265,3,0
617.3042168674699,3,0
620.2861445783133,3,0
623.2680722891566,1,0
626.25,4,0
629.2319277108434,3,0
632.2138554216868,2,0
635.1957831325302,2,0
638.1777108433736,5,0
641.1596385542169,1,0
644.1415662650603,4,0
647.1234939759037,4,0
650.105421686747,3,0
653.0873493975904,3,0
656.0692771084338,5,0
659.0512048192771,5,0
662.0331325301205,3,1
665.0150602409639,4,0
667.9969879518072,3,0
670.9789156626507,2,0
673.9608433734941,2,1
676.9427710843374,2,0
679.9246987951808,0,0
682.9066265060242,1,1
685.8885542168675,2,0
688.8704819277109,0,0
691.8524096385543,1,0
694.8343373493976,1,0
697.816265060241,0,0
700.7981927710844,1,0
703.7801204819277,2,0
706.7620481927711,0,0
709.7439759036145,2,0
712.7259036144579,3,0
715.7078313253013,1,0
718.6897590361447,3,0
721.671686746988,1,0
724.6536144578314,4,0
727.6355421686748,1,0
730.6174698795181,0,0
733.5993975903615,1,0
736.5813253012049,0,0
739.5632530120482,0,0
742.5451807228916,2,0
745.527108433735,58,2
748.5090361445783,122,1
