pulseheight,counts_ch_A,counts_ch_B
3.148648648648649,76,192
3.4459459459459465,94,192
3.743243243243244,93,229
4.040540540540541,102,199
4.337837837837839,97,204
4.635135135135136,83,210
4.932432432432433,81,208
5.229729729729731,88,220
5.527027027027028,86,205
5.8243243243243255,70,210
6.121621621621623,98,213
6.41891891891892,85,206
6.716216216216218,97,203
7.013513513513515,92,249
7.310810810810812,86,234
7.60810810810811,96,194
7.905405405405407,95,238
8.202702702702705,88,211
8.500000000000002,85,224
8.797297297297298,88,200
9.094594594594597,90,197
9.391891891891895,86,211
9.689189189189191,86,181
9.986486486486488,94,215
10.283783783783786,604,570
10.581081081081084,1140,839
10.878378378378379,1264,779
11.175675675675677,1184,707
11.472972972972975,1232,701
11.770270270270274,1231,615
12.067567567567568,1096,563
12.364864864864867,1163,528
12.662162162162165,1086,509
12.959459459459463,1031,451
13.256756756756758,957,408
13.554054054054056,996,401
13.851351351351354,860,427
14.148648648648653,844,481
14.445945945945947,934,554
14.743243243243246,796,629
15.040540540540544,783,772
15.337837837837842,804,827
15.635135135135137,800,798
15.932432432432435,715,782
16.229729729729733,736,864
16.52702702702703,667,813
16.82432432432433,694,850
17.121621621621625,602,833
17.418918918918923,612,854
17.71621621621622,574,885
18.013513513513516,566,911
18.310810810810814,530,929
18.608108108108112,501,1079
18.90540540540541,506,1120
19.202702702702705,492,1185
19.500000000000004,476,1275
19.797297297297302,426,1200
20.0945945945946,414,1145
20.391891891891895,405,989
20.689189189189193,412,783
20.98648648648649,359,610
21.28378378378379,353,458
21.581081081081084,323,300
21.878378378378383,315,227
22.17567567567568,263,152
22.47297297297298,275,157
22.770270270270274,273,136
23.067567567567572,243,156
23.36486486486487,256,126
23.66216216216217,231,121
23.959459459459463,244,129
24.25675675675676,302,143
24.55405405405406,310,115
24.851351351351358,352,116
25.148648648648653,413,130
25.44594594594595,498,106
25.74324324324325,529,152
26.040540540540547,568,116
26.337837837837842,638,117
26.63513513513514,674,117
26.93243243243244,671,117
27.229729729729737,630,141
27.52702702702703,708,126
27.82432432432433,665,127
28.121621621621628,653,113
28.418918918918926,691,121
28.71621621621622,696,128
29.01351351351352,676,115
29.310810810810818,736,114
29.608108108108116,745,127
29.90540540540541,772,114
30.20270270270271,788,110
30.500000000000007,834,107
30.797297297297305,861,107
31.0945945945946,984,128
31.3918918918919,922,103
31.689189189189197,955,114
31.986486486486495,936,110
32.28378378378379,1091,106
32.581081081081095,1030,112
32.878378378378386,1035,119
33.175675675675684,1039,111
33.47297297297298,970,110
33.770270270270274,865,106
34.06756756756758,772,96
34.36486486486487,642,106
34.662162162162176,497,106
34.95945945945947,482,110
35.25675675675676,323,112
35.55405405405406,261,127
35.851351351351354,211,123
36.14864864864866,182,133
36.44594594594595,143,119
36.743243243243256,101,113
37.04054054054055,99,123
37.33783783783785,88,106
37.635135135135144,95,128
37.932432432432435,106,85
38.22972972972974,83,102
38.52702702702703,82,121
38.82432432432434,99,94
39.12162162162163,100,117
39.41891891891893,90,91
39.716216216216225,95,85
40.013513513513516,111,96
40.31081081081082,90,107
40.60810810810811,89,79
40.90540540540542,91,100
41.20270270270271,78,90
41.500000000000014,93,90
41.797297297297305,104,76
42.09459459459461,95,56
42.3918918918919,79,70
42.68918918918919,99,91
42.9864864864865,78,85
43.28378378378379,68,93
43.581081081081095,78,72
43.878378378378386,69,64
44.17567567567569,94,68
44.47297297297298,86,80
44.770270270270274,91,85
45.06756756756758,81,93
45.36486486486487,80,80
45.662162162162176,74,87
45.95945945945947,101,111
46.25675675675677,83,97
46.55405405405406,97,101
46.85135135135137,97,115
47.14864864864866,72,109
47.44594594594595,80,97
47.743243243243256,88,118
48.04054054054055,77,124
48.33783783783785,90,141
48.635135135135144,87,129
48.93243243243245,81,106
49.22972972972974,93,107
49.52702702702703,89,101
49.82432432432434,83,104
50.12162162162163,88,63
50.41891891891893,71,57
50.716216216216225,89,50
51.01351351351353,87,32
51.31081081081082,80,39
51.60810810810813,67,26
51.90540540540542,101,19
52.20270270270271,77,20
52.500000000000014,83,19
52.797297297297305,85,18
53.09459459459461,80,14
53.3918918918919,95,12
53.68918918918921,88,6
53.9864864864865,90,11
54.28378378378379,72,8
54.581081081081095,84,12
54.878378378378386,86,14
55.17567567567569,77,7
55.47297297297298,95,7
55.77027027027029,82,11
56.06756756756758,87,6
56.364864864864884,91,6
56.662162162162176,79,7
56.95945945945947,82,5
57.25675675675677,78,8
57.55405405405406,69,3
57.85135135135137,89,8
58.14864864864866,86,8
58.445945945945965,59,8
58.743243243243256,94,4
59.04054054054055,79,2
59.33783783783785,86,8
59.635135135135144,72,6
59.93243243243245,73,7
60.22972972972974,62,1
60.527027027027046,86,2
60.82432432432434,78,3
61.12162162162164,96,3
61.41891891891893,92,6
61.716216216216225,94,3
62.01351351351353,86,5
62.31081081081082,82,3
62.60810810810813,98,2
62.90540540540542,78,5
63.20270270270272,95,2
63.500000000000014,88,7
63.797297297297305,80,4
64.09459459459461,73,4
64.3918918918919,94,3
64.68918918918921,89,4
64.98648648648651,83,1
65.2837837837838,78,5
65.5810810810811,86,3
65.8783783783784,86,5
66.17567567567569,81,7
66.472972972973,90,3
66.77027027027029,66,12
67.06756756756758,74,1
67.36486486486487,60,3
67.66216216216218,63,2
67.95945945945948,83,3
68.25675675675677,54,3
68.55405405405406,55,2
68.85135135135137,90,4
69.14864864864867,74,2
69.44594594594597,65,2
69.74324324324326,68,4
70.04054054054055,72,6
70.33783783783785,66,3
70.63513513513516,65,2
70.93243243243245,69,2
71.22972972972974,82,3
71.52702702702705,62,7
71.82432432432435,69,1
72.12162162162164,60,1
72.41891891891893,68,1
72.71621621621622,72,4
73.01351351351353,70,4
73.31081081081084,75,4
73.60810810810813,79,4
73.90540540540542,65,3
74.20270270270272,57,1
74.50000000000001,69,4
74.79729729729732,70,1
75.09459459459461,70,2
75.3918918918919,75,5
75.68918918918921,81,4
75.98648648648651,76,3
76.2837837837838,83,2
76.5810810810811,78,5
76.87837837837839,92,3
77.17567567567569,73,1
77.472972972973,95,4
77.77027027027029,85,4
78.06756756756758,83,2
78.36486486486488,91,3
78.66216216216219,94,1
78.95945945945948,107,0
79.25675675675677,96,0
79.55405405405406,116,6
79.85135135135137,121,3
80.14864864864867,107,4
80.44594594594597,110,1
80.74324324324326,120,3
81.04054054054056,99,5
81.33783783783787,101,1
81.63513513513516,83,3
81.93243243243245,91,1
82.22972972972974,72,5
82.52702702702705,64,1
82.82432432432435,61,1
83.12162162162164,75,3
83.41891891891893,55,0
83.71621621621624,31,3
84.01351351351353,38,4
84.31081081081084,24,2
84.60810810810813,13,1
84.90540540540542,18,3
85.20270270270272,23,1
85.50000000000003,11,1
85.79729729729732,8,0
86.09459459459461,15,2
86.3918918918919,11,1
86.68918918918921,13,4
86.98648648648651,7,0
87.2837837837838,13,1
87.5810810810811,7,0
87.8783783783784,6,1
88.1756756756757,5,3
88.472972972973,8,1
88.77027027027029,7,1
89.06756756756758,8,1
89.36486486486488,12,0
89.66216216216219,11,0
89.95945945945948,4,0
90.25675675675677,7,0
90.55405405405408,9,0
90.85135135135138,11,0
91.14864864864867,5,1
91.44594594594597,7,1
91.74324324324326,4,0
92.04054054054056,3,3
92.33783783783787,8,0
92.63513513513516,5,1
92.93243243243245,10,2
93.22972972972975,12,1
93.52702702702705,6,2
93.82432432432435,11,2
94.12162162162164,4,0
94.41891891891893,5,1
94.71621621621624,6,1
95.01351351351354,3,0
95.31081081081084,3,3
95.60810810810813,6,1
95.90540540540542,9,1
96.20270270270272,6,0
96.50000000000003,5,1
96.79729729729732,2,2
97.09459459459461,6,2
97.39189189189192,4,2
97.68918918918922,2,1
97.98648648648651,4,4
98.2837837837838,2,1
98.5810810810811,4,0
98.8783783783784,1,0
99.1756756756757,3,2
99.472972972973,3,1
99.77027027027029,3,1
100.0675675675676,1,1
100.3648648648649,3,1
100.66216216216219,0,0
100.95945945945948,3,1
