pulseheight,counts_ch_A,counts_ch_B
3.148648648648649,34,70
3.4459459459459465,21,72
3.743243243243244,34,67
4.040540540540541,35,62
4.337837837837839,35,63
4.635135135135136,38,58
4.932432432432433,33,61
5.229729729729731,31,66
5.527027027027028,33,60
5.8243243243243255,30,55
6.121621621621623,36,65
6.41891891891892,34,67
6.716216216216218,32,65
7.013513513513515,28,58
7.310810810810812,35,82
7.60810810810811,39,69
7.905405405405407,26,61
8.202702702702705,29,73
8.500000000000002,41,72
8.797297297297298,41,71
9.094594594594597,46,49
9.391891891891895,41,67
9.689189189189191,50,50
9.986486486486488,30,60
10.283783783783786,645,535
10.581081081081084,1227,950
10.878378378378379,1294,894
11.175675675675677,1294,807
11.472972972972975,1224,778
11.770270270270274,1230,697
12.067567567567568,1161,666
12.364864864864867,1141,654
12.662162162162165,1076,554
12.959459459459463,1039,479
13.256756756756758,1010,465
13.554054054054056,954,415
13.851351351351354,903,465
14.148648648648653,884,514
14.445945945945947,891,640
14.743243243243246,831,709
15.040540540540544,841,827
15.337837837837842,815,927
15.635135135135137,774,993
15.932432432432435,711,876
16.229729729729733,678,950
16.52702702702703,675,1021
16.82432432432433,681,1011
17.121621621621625,634,1031
17.418918918918923,592,993
17.71621621621622,599,1073
18.013513513513516,521,1158
18.310810810810814,540,1161
18.608108108108112,522,1296
18.90540540540541,500,1379
19.202702702702705,480,1452
19.500000000000004,430,1497
19.797297297297302,395,1455
20.0945945945946,422,1349
20.391891891891895,416,1210
20.689189189189193,390,962
20.98648648648649,381,727
21.28378378378379,365,476
21.581081081081084,358,319
21.878378378378383,348,251
22.17567567567568,319,205
22.47297297297298,295,165
22.770270270270274,316,155
23.067567567567572,286,155
23.36486486486487,281,144
23.66216216216217,284,144
23.959459459459463,304,139
24.25675675675676,299,161
24.55405405405406,359,130
24.851351351351358,400,139
25.148648648648653,445,141
25.44594594594595,497,138
25.74324324324325,555,135
26.040540540540547,584,165
26.337837837837842,554,136
26.63513513513514,647,132
26.93243243243244,631,131
27.229729729729737,633,131
27.52702702702703,677,129
27.82432432432433,653,147
28.121621621621628,686,138
28.418918918918926,641,128
28.71621621621622,692,145
29.01351351351352,664,144
29.310810810810818,710,128
29.608108108108116,704,141
29.90540540540541,720,120
30.20270270270271,774,140
30.500000000000007,787,140
30.797297297297305,780,142
31.0945945945946,863,135
31.3918918918919,945,132
31.689189189189197,936,139
31.986486486486495,1008,130
32.28378378378379,905,143
32.581081081081095,950,114
32.878378378378386,966,116
33.175675675675684,918,127
33.47297297297298,859,120
33.770270270270274,744,123
34.06756756756758,590,104
34.36486486486487,588,146
34.662162162162176,425,134
34.95945945945947,376,130
35.25675675675676,327,113
35.55405405405406,248,151
35.851351351351354,211,158
36.14864864864866,148,151
36.44594594594595,130,150
36.743243243243256,100,161
37.04054054054055,96,154
37.33783783783785,111,142
37.635135135135144,90,144
37.932432432432435,92,143
38.22972972972974,95,144
38.52702702702703,101,144
38.82432432432434,87,122
39.12162162162163,89,154
39.41891891891893,73,120
39.716216216216225,83,110
40.013513513513516,97,124
40.31081081081082,83,115
40.60810810810811,85,102
40.90540540540542,94,96
41.20270270270271,89,107
41.500000000000014,91,109
41.797297297297305,93,105
42.09459459459461,87,97
42.3918918918919,99,102
42.68918918918919,97,92
42.9864864864865,76,99
43.28378378378379,105,96
43.581081081081095,97,93
43.878378378378386,76,90
44.17567567567569,93,111
44.47297297297298,81,104
44.770270270270274,77,106
45.06756756756758,98,99
45.36486486486487,95,94
45.662162162162176,87,111
45.95945945945947,102,124
46.25675675675677,87,120
46.55405405405406,97,123
46.85135135135137,95,133
47.14864864864866,97,134
47.44594594594595,85,141
47.743243243243256,84,135
48.04054054054055,75,148
48.33783783783785,80,158
48.635135135135144,71,158
48.93243243243245,94,140
49.22972972972974,82,145
49.52702702702703,88,113
49.82432432432434,75,109
50.12162162162163,92,79
50.41891891891893,113,55
50.716216216216225,109,53
51.01351351351353,87,48
51.31081081081082,97,28
51.60810810810813,95,27
51.90540540540542,84,18
52.20270270270271,103,21
52.500000000000014,79,11
52.797297297297305,98,12
53.09459459459461,72,13
53.3918918918919,72,15
53.68918918918921,82,8
53.9864864864865,78,9
54.28378378378379,92,13
54.581081081081095,62,9
54.878378378378386,82,11
55.17567567567569,73,8
55.47297297297298,86,3
55.77027027027029,85,8
56.06756756756758,81,11
56.364864864864884,78,8
56.662162162162176,78,17
56.95945945945947,73,7
57.25675675675677,67,6
57.55405405405406,73,7
57.85135135135137,82,9
58.14864864864866,77,6
58.445945945945965,71,3
58.743243243243256,60,4
59.04054054054055,73,5
59.33783783783785,73,3
59.635135135135144,65,1
59.93243243243245,79,2
60.22972972972974,76,8
60.527027027027046,91,3
60.82432432432434,80,2
61.12162162162164,94,5
61.41891891891893,82,2
61.716216216216225,96,3
62.01351351351353,92,5
62.31081081081082,78,7
62.60810810810813,82,4
62.90540540540542,110,6
63.20270270270272,81,3
63.500000000000014,85,0
63.797297297297305,97,2
64.09459459459461,86,4
64.3918918918919,97,4
64.68918918918921,85,5
64.98648648648651,88,3
65.2837837837838,66,6
65.5810810810811,64,4
65.8783783783784,72,3
66.17567567567569,79,5
66.472972972973,63,1
66.77027027027029,75,3
67.06756756756758,74,5
67.36486486486487,67,6
67.66216216216218,71,3
67.95945945945948,78,4
68.25675675675677,74,2
68.55405405405406,81,2
68.85135135135137,72,1
69.14864864864867,61,2
69.44594594594597,59,1
69.74324324324326,65,9
70.04054054054055,46,4
70.33783783783785,61,4
70.63513513513516,65,2
70.93243243243245,50,4
71.22972972972974,72,2
71.52702702702705,64,4
71.82432432432435,55,0
72.12162162162164,56,0
72.41891891891893,70,1
72.71621621621622,67,2
73.01351351351353,67,1
73.31081081081084,55,4
73.60810810810813,74,2
73.90540540540542,63,1
74.20270270270272,51,3
74.50000000000001,83,2
74.79729729729732,67,1
75.09459459459461,68,1
75.3918918918919,69,0
75.68918918918921,77,1
75.98648648648651,75,3
76.2837837837838,69,1
76.5810810810811,84,1
76.87837837837839,79,0
77.17567567567569,82,1
77.472972972973,85,3
77.77027027027029,104,5
78.06756756756758,72,1
78.36486486486488,101,3
78.66216216216219,90,3
78.95945945945948,91,1
79.25675675675677,112,4
79.55405405405406,104,0
79.85135135135137,103,3
80.14864864864867,116,2
80.44594594594597,109,1
80.74324324324326,107,2
81.04054054054056,98,2
81.33783783783787,107,2
81.63513513513516,65,0
81.93243243243245,88,1
82.22972972972974,83,3
82.52702702702705,65,1
82.82432432432435,64,1
83.12162162162164,44,1
83.41891891891893,37,1
83.71621621621624,34,4
84.01351351351353,28,0
84.31081081081084,31,1
84.60810810810813,22,1
84.90540540540542,18,0
85.20270270270272,18,1
85.50000000000003,12,1
85.79729729729732,16,2
86.09459459459461,10,3
86.3918918918919,8,1
86.68918918918921,6,0
86.98648648648651,8,1
87.2837837837838,5,1
87.5810810810811,5,0
87.8783783783784,2,1
88.1756756756757,6,0
88.472972972973,3,1
88.77027027027029,5,1
89.06756756756758,8,0
89.36486486486488,4,1
89.66216216216219,6,2
89.95945945945948,1,2
90.25675675675677,2,0
90.55405405405408,5,3
90.85135135135138,8,2
91.14864864864867,10,0
91.44594594594597,4,1
91.74324324324326,9,1
92.04054054054056,7,0
92.33783783783787,10,0
92.63513513513516,8,1
92.93243243243245,7,1
93.22972972972975,3,1
93.52702702702705,4,0
93.82432432432435,4,1
94.12162162162164,8,2
94.41891891891893,5,2
94.71621621621624,6,1
95.01351351351354,6,0
95.31081081081084,3,3
95.60810810810813,2,0
95.90540540540542,3,0
96.20270270270272,1,0
96.50000000000003,4,0
96.79729729729732,0,2
97.09459459459461,3,0
97.39189189189192,2,1
97.68918918918922,2,3
97.98648648648651,3,1
98.2837837837838,6,2
98.5810810810811,5,0
98.8783783783784,3,0
99.1756756756757,0,1
99.472972972973,0,2
99.77027027027029,2,0
100.0675675675676,0,0
100.3648648648649,1,0
100.66216216216219,2,0
100.95945945945948,1,0
101.25675675675677,4,2
101.55405405405408,2,1
101.85135135135138,2,0
102.14864864864867,3,0
102.44594594594597,2,0
102.74324324324327,5,1
103.04054054054056,1,1
103.33783783783787,2,0
103.63513513513516,0,0
103.93243243243245,2,0
104.22972972972975,2,1
104.52702702702706,1,0
104.82432432432435,2,0
105.12162162162164,2,0
105.41891891891893,0,1
105.71621621621624,2,0
106.01351351351354,0,0
106.31081081081084,1,0
106.60810810810813,3,1
106.90540540540543,1,0
107.20270270270274,3,0
107.50000000000003,2,1
107.79729729729732,2,0
108.09459459459461,0,0
108.39189189189192,2,1
108.68918918918922,3,0
108.98648648648651,1,2
109.2837837837838,0,0
109.58108108108111,1,0
109.87837837837841,0,0
110.1756756756757,3,0
110.472972972973,1,0
110.77027027027029,3,1
111.0675675675676,3,0
111.3648648648649,0,1
111.66216216216219,1,0
111.95945945945948,0,1
112.25675675675679,1,0
112.55405405405408,4,1
112.85135135135138,1,0
113.14864864864867,3,0
113.44594594594597,1,0
113.74324324324327,0,1
114.04054054054058,0,0
114.33783783783787,1,1
114.63513513513516,3,0
114.93243243243245,0,0
115.22972972972975,1,0
115.52702702702706,1,1
115.82432432432435,0,0
116.12162162162164,5,0
116.41891891891895,3,0
116.71621621621625,1,0
117.01351351351354,3,1
117.31081081081084,0,0
117.60810810810813,1,0
117.90540540540543,1,0
118.20270270270274,1,0
118.50000000000003,3,0
118.79729729729732,0,0
119.09459459459462,0,0
119.39189189189193,0,0
119.68918918918922,1,0
119.98648648648651,1,2
120.2837837837838,0,0
120.58108108108111,1,1
120.87837837837841,1,0
121.1756756756757,2,0
121.472972972973,0,1
121.7702702702703,0,1
122.0675675675676,0,0
122.3648648648649,1,0
122.66216216216219,0,0
122.95945945945948,0,2
123.25675675675679,1,0
123.55405405405409,1,0
123.85135135135138,0,0
124.14864864864867,0,0
124.44594594594597,0,0
124.74324324324327,0,1
125.04054054054058,2,0
125.33783783783787,1,0
125.63513513513516,1,0
125.93243243243246,1,1
126.22972972972977,1,0
126.52702702702706,1,0
