pulseheight,counts_ch_A,counts_ch_B
8.955882352941178,645,851
11.867647058823529,4146,1563
14.779411764705882,2913,1239
17.691176470588236,1962,849
20.602941176470587,1303,665
23.514705882352942,961,506
26.426470588235293,747,393
29.338235294117645,556,309
32.25,474,296
35.16176470588235,383,255
38.07352941176471,371,212
40.98529411764706,296,197
43.897058823529406,298,161
46.80882352941177,215,120
49.720588235294116,183,110
52.632352941176464,176,116
55.544117647058826,159,112
58.455882352941174,161,70
61.36764705882352,173,43
64.27941176470588,128,38
67.19117647058823,136,24
70.10294117647058,123,28
73.01470588235294,108,41
75.92647058823529,127,23
78.83823529411765,114,20
81.75,93,19
84.66176470588235,85,17
87.5735294117647,76,17
90.48529411764706,79,22
93.3970588235294,46,21
96.30882352941177,55,15
99.22058823529412,65,6
102.13235294117646,65,11
105.04411764705881,44,8
107.95588235294117,32,5
110.86764705882352,31,11
113.77941176470588,25,10
116.69117647058823,22,0
119.60294117647058,26,4
122.51470588235293,21,9
125.42647058823529,19,7
128.33823529411762,15,9
131.25,11,3
134.16176470588235,23,6
137.0735294117647,7,3
139.98529411764707,18,5
142.8970588235294,14,1
145.80882352941177,2,2
148.7205882352941,7,5
151.63235294117646,8,6
154.54411764705884,14,6
157.45588235294116,7,3
160.36764705882354,5,2
163.27941176470586,2,6
166.19117647058823,8,3
169.10294117647058,6,5
172.01470588235293,9,6
174.9264705882353,10,6
177.83823529411762,7,5
180.75,3,5
183.66176470588232,4,2
186.5735294117647,3,2
189.48529411764707,3,1
192.3970588235294,4,1
195.30882352941177,3,1
198.2205882352941,4,2
201.13235294117646,2,1
204.04411764705884,3,4
206.95588235294116,1,4
209.86764705882354,2,3
212.77941176470586,2,4
215.69117647058823,2,2
218.60294117647058,1,1
221.51470588235293,0,2
224.4264705882353,5,1
227.33823529411762,3,2
230.25,2,5
233.16176470588232,5,0
236.0735294117647,3,2
238.98529411764707,2,1
241.8970588235294,1,2
244.80882352941177,1,3
247.7205882352941,3,5
250.63235294117646,5,4
253.5441176470588,1,3
256.45588235294116,3,5
259.36764705882354,2,0
