pulseheight,counts_ch_A,counts_ch_B
3.148648648648649,5,12
3.4459459459459465,6,15
3.743243243243244,5,27
4.040540540540541,9,19
4.337837837837839,4,18
4.635135135135136,4,21
4.932432432432433,4,15
5.229729729729731,4,16
5.527027027027028,3,20
5.8243243243243255,3,18
6.121621621621623,9,21
6.41891891891892,3,14
6.716216216216218,5,19
7.013513513513515,6,21
7.310810810810812,6,13
7.60810810810811,4,8
7.905405405405407,8,20
8.202702702702705,6,13
8.500000000000002,8,7
8.797297297297298,8,9
9.094594594594597,4,13
9.391891891891895,7,7
9.689189189189191,6,10
9.986486486486488,28,13
10.283783783783786,827,432
10.581081081081084,1370,741
10.878378378378379,1368,729
11.175675675675677,1383,632
11.472972972972975,1398,612
11.770270270270274,1385,548
12.067567567567568,1315,543
12.364864864864867,1360,467
12.662162162162165,1270,465
12.959459459459463,1201,451
13.256756756756758,1118,371
13.554054054054056,1154,348
13.851351351351354,1126,359
14.148648648648653,1078,401
14.445945945945947,1074,430
14.743243243243246,1057,534
15.040540540540544,1003,582
15.337837837837842,1006,644
15.635135135135137,999,663
15.932432432432435,904,665
16.229729729729733,889,675
16.52702702702703,869,676
16.82432432432433,745,662
17.121621621621625,782,737
17.418918918918923,755,681
17.71621621621622,753,760
18.013513513513516,690,746
18.310810810810814,723,786
18.608108108108112,682,858
18.90540540540541,652,914
19.202702702702705,632,1001
19.500000000000004,573,965
19.797297297297302,516,1039
20.0945945945946,495,876
20.391891891891895,533,841
20.689189189189193,506,694
20.98648648648649,480,461
21.28378378378379,465,365
21.581081081081084,396,237
21.878378378378383,382,207
22.17567567567568,380,157
22.47297297297298,366,119
22.770270270270274,366,149
23.067567567567572,301,127
23.36486486486487,306,108
23.66216216216217,322,97
23.959459459459463,327,116
24.25675675675676,385,122
24.55405405405406,420,117
24.851351351351358,475,97
25.148648648648653,589,91
25.44594594594595,598,90
25.74324324324325,719,98
26.040540540540547,742,111
26.337837837837842,733,97
26.63513513513514,809,98
26.93243243243244,809,116
27.229729729729737,837,105
27.52702702702703,850,108
27.82432432432433,899,102
28.121621621621628,871,84
28.418918918918926,854,95
28.71621621621622,940,88
29.01351351351352,904,96
29.310810810810818,899,100
29.608108108108116,945,99
29.90540540540541,994,88
30.20270270270271,1024,86
30.500000000000007,1004,100
30.797297297297305,1119,101
31.0945945945946,1168,90
31.3918918918919,1232,94
31.689189189189197,1258,83
31.986486486486495,1254,98
32.28378378378379,1339,105
32.581081081081095,1413,84
32.878378378378386,1263,88
33.175675675675684,1226,81
33.47297297297298,1186,88
33.770270270270274,1101,78
34.06756756756758,988,73
34.36486486486487,766,80
34.662162162162176,607,92
34.95945945945947,523,99
35.25675675675676,445,105
35.55405405405406,335,105
35.851351351351354,264,87
36.14864864864866,202,106
36.44594594594595,160,95
36.743243243243256,163,104
37.04054054054055,134,96
37.33783783783785,118,108
37.635135135135144,105,82
37.932432432432435,110,99
38.22972972972974,122,99
38.52702702702703,121,97
38.82432432432434,104,82
39.12162162162163,101,79
39.41891891891893,91,87
39.716216216216225,108,79
40.013513513513516,108,76
40.31081081081082,92,83
40.60810810810811,104,88
40.90540540540542,100,72
41.20270270270271,123,59
41.500000000000014,98,65
41.797297297297305,111,72
42.09459459459461,120,75
42.3918918918919,100,65
42.68918918918919,126,65
42.9864864864865,90,62
43.28378378378379,107,63
43.581081081081095,121,72
43.878378378378386,100,60
44.17567567567569,101,63
44.47297297297298,114,55
44.770270270270274,105,78
45.06756756756758,99,75
45.36486486486487,117,69
45.662162162162176,103,70
45.95945945945947,111,88
46.25675675675677,107,87
