pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,97,22
11.972891566265062,91,2
14.954819277108435,79,12
17.936746987951807,106,6
20.918674698795183,118,13
23.900602409638555,110,15
26.88253012048193,165,18
29.864457831325304,177,16
32.846385542168676,186,17
35.82831325301205,232,25
38.81024096385542,302,16
41.7921686746988,319,20
44.774096385542165,390,30
47.756024096385545,427,23
50.737951807228924,496,26
53.71987951807229,590,21
56.70180722891567,649,17
59.683734939759034,654,20
62.665662650602414,740,27
65.6475903614458,777,23
68.62951807228916,867,18
71.61144578313252,908,25
74.59337349397592,923,28
77.57530120481928,902,29
80.55722891566265,804,26
83.53915662650603,797,20
86.52108433734941,819,17
89.50301204819277,717,15
92.48493975903615,650,25
95.46686746987953,681,15
98.4487951807229,631,6
101.43072289156626,581,11
104.41265060240966,586,6
107.39457831325302,498,9
110.37650602409639,499,11
113.35843373493977,510,16
116.34036144578315,473,8
119.32228915662651,433,16
122.30421686746989,396,12
125.28614457831327,383,10
128.26807228915663,337,8
131.25,305,8
134.23192771084337,289,10
137.21385542168676,283,8
140.19578313253012,257,2
143.17771084337352,228,8
146.15963855421688,202,1
149.14156626506025,228,2
152.1234939759036,182,2
155.105421686747,199,5
158.08734939759037,171,4
161.06927710843374,179,3
164.05120481927713,174,4
167.0331325301205,157,1
170.01506024096386,169,3
172.99698795180723,158,5
175.97891566265062,185,5
178.960843373494,196,6
181.94277108433738,276,7
184.92469879518075,431,8
187.9066265060241,770,17
190.88855421686748,1143,23
193.87048192771084,1525,22
196.85240963855424,1693,43
199.8343373493976,1578,25
202.816265060241,1169,28
205.79819277108436,680,25
208.78012048192772,365,19
211.7620481927711,179,5
214.74397590361446,94,5
217.72590361445785,90,0
220.7078313253012,86,1
223.6897590361446,111,2
226.67168674698797,88,0
229.65361445783134,82,2
232.6355421686747,90,1
235.6174698795181,90,0
238.59939759036146,77,4
241.58132530120483,67,1
244.56325301204822,68,2
247.5451807228916,80,2
250.52710843373495,55,0
253.50903614457832,71,0
256.4909638554217,72,1
259.47289156626505,69,0
262.4548192771084,74,0
265.43674698795184,61,0
268.4186746987952,76,1
271.40060240963857,70,2
274.38253012048193,74,0
277.36445783132535,66,2
280.3463855421687,70,3
283.3283132530121,74,2
286.31024096385545,70,2
289.2921686746988,55,1
292.2740963855422,69,1
295.25602409638554,56,2
298.2379518072289,59,1
301.21987951807233,43,0
304.2018072289157,75,1
307.18373493975906,50,1
310.1656626506024,55,2
313.1475903614458,75,1
316.12951807228916,69,1
319.1114457831326,54,1
322.09337349397595,55,0
325.0753012048193,55,2
328.0572289156627,70,5
331.03915662650604,64,5
334.0210843373494,66,0
337.0030120481928,74,1
339.98493975903614,63,1
342.96686746987956,65,4
345.9487951807229,79,1
348.9307228915663,59,0
351.91265060240966,76,0
354.894578313253,72,2
357.87650602409644,78,1
360.8584337349398,67,1
363.8403614457832,75,2
366.82228915662654,73,1
369.8042168674699,72,6
372.78614457831327,66,1
375.76807228915663,71,1
378.75,63,3
381.7319277108434,81,1
384.7138554216868,75,2
387.69578313253015,60,2
390.6777108433735,45,2
393.6596385542169,52,2
396.64156626506025,31,0
399.62349397590367,29,0
402.60542168674704,28,1
405.5873493975904,27,1
408.56927710843377,24,0
411.55120481927713,21,0
414.5331325301205,26,1
417.51506024096386,23,1
420.4969879518072,13,0
423.47891566265065,21,0
426.460843373494,24,0
429.4427710843374,17,0
432.42469879518075,5,0
435.4066265060241,23,0
438.38855421686753,18,0
441.3704819277109,19,1
444.35240963855426,23,1
447.33433734939763,25,1
450.316265060241,31,1
453.29819277108436,40,0
456.2801204819277,44,2
459.2620481927711,64,3
462.2439759036145,103,2
465.2259036144579,131,1
468.20783132530124,181,1
471.1897590361446,182,3
474.171686746988,236,5
477.15361445783134,205,2
480.13554216867476,180,3
483.1174698795181,155,3
486.0993975903615,119,3
489.08132530120486,74,5
492.0632530120482,66,2
495.0451807228916,29,3
498.02710843373495,18,1
501.0090361445783,11,1
503.99096385542174,7,2
506.9728915662651,6,0
509.95481927710847,4,0
512.9367469879518,9,0
515.9186746987951,4,0
518.9006024096386,9,0
521.882530120482,8,0
