pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,161,154
11.972891566265062,123,144
14.954819277108435,144,139
17.936746987951807,151,136
20.918674698795183,147,130
23.900602409638555,137,136
26.88253012048193,214,227
29.864457831325304,210,214
32.846385542168676,256,290
35.82831325301205,279,306
38.81024096385542,379,391
41.7921686746988,411,439
44.774096385542165,425,477
47.756024096385545,525,544
50.737951807228924,585,624
53.71987951807229,688,682
56.70180722891567,734,781
59.683734939759034,813,768
62.665662650602414,812,831
65.6475903614458,816,882
68.62951807228916,909,911
71.61144578313252,1002,1026
74.59337349397592,1125,1055
77.57530120481928,1229,1137
80.55722891566265,1142,1190
83.53915662650603,1087,1046
86.52108433734941,1041,1050
89.50301204819277,1018,960
92.48493975903615,902,914
95.46686746987953,909,927
98.4487951807229,868,872
101.43072289156626,770,845
104.41265060240966,746,794
107.39457831325302,704,691
110.37650602409639,711,706
113.35843373493977,648,651
116.34036144578315,606,588
119.32228915662651,560,577
122.30421686746989,546,565
125.28614457831327,564,573
128.26807228915663,574,559
131.25,488,492
134.23192771084337,469,462
137.21385542168676,421,443
140.19578313253012,389,376
143.17771084337352,358,324
146.15963855421688,362,311
149.14156626506025,284,274
152.1234939759036,245,268
155.105421686747,244,228
158.08734939759037,219,243
161.06927710843374,239,232
164.05120481927713,217,193
167.0331325301205,224,220
170.01506024096386,207,202
172.99698795180723,186,169
175.97891566265062,211,202
178.960843373494,210,176
181.94277108433738,206,182
184.92469879518075,177,158
187.9066265060241,210,195
190.88855421686748,190,184
193.87048192771084,247,231
196.85240963855424,374,325
199.8343373493976,540,579
202.816265060241,917,922
205.79819277108436,1330,1365
208.78012048192772,1813,1682
211.7620481927711,1980,1953
214.74397590361446,1771,1623
217.72590361445785,1340,1420
220.7078313253012,814,904
223.6897590361446,474,535
226.67168674698797,226,307
229.65361445783134,139,178
232.6355421686747,105,129
235.6174698795181,108,114
238.59939759036146,108,121
241.58132530120483,104,102
244.56325301204822,114,121
247.5451807228916,101,110
250.52710843373495,123,98
253.50903614457832,114,92
256.4909638554217,97,100
259.47289156626505,94,89
262.4548192771084,88,83
265.43674698795184,103,85
268.4186746987952,69,90
271.40060240963857,91,77
274.38253012048193,93,73
277.36445783132535,70,85
280.3463855421687,98,102
283.3283132530121,82,83
286.31024096385545,83,71
289.2921686746988,85,84
292.2740963855422,87,73
295.25602409638554,86,65
298.2379518072289,76,62
301.21987951807233,81,68
