pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,103,20
11.972891566265062,100,19
14.954819277108435,101,21
17.936746987951807,92,19
20.918674698795183,122,24
23.900602409638555,128,26
26.88253012048193,161,25
29.864457831325304,179,36
32.846385542168676,200,25
35.82831325301205,232,28
38.81024096385542,320,34
41.7921686746988,341,25
44.774096385542165,393,23
47.756024096385545,417,24
50.737951807228924,479,35
53.71987951807229,562,46
56.70180722891567,618,26
59.683734939759034,708,27
62.665662650602414,784,32
65.6475903614458,822,25
68.62951807228916,941,35
71.61144578313252,991,42
74.59337349397592,997,36
77.57530120481928,904,38
80.55722891566265,811,32
83.53915662650603,832,29
86.52108433734941,793,22
89.50301204819277,784,30
92.48493975903615,784,32
95.46686746987953,782,29
98.4487951807229,707,17
101.43072289156626,636,31
104.41265060240966,570,24
107.39457831325302,593,15
110.37650602409639,590,23
113.35843373493977,576,18
116.34036144578315,561,12
119.32228915662651,571,26
122.30421686746989,544,17
125.28614457831327,488,12
128.26807228915663,383,12
131.25,399,10
134.23192771084337,350,12
137.21385542168676,281,11
140.19578313253012,236,8
143.17771084337352,258,3
146.15963855421688,275,6
149.14156626506025,226,6
152.1234939759036,227,9
155.105421686747,237,4
158.08734939759037,184,16
161.06927710843374,201,10
164.05120481927713,205,4
167.0331325301205,223,7
170.01506024096386,183,5
172.99698795180723,182,9
175.97891566265062,226,8
178.960843373494,257,3
181.94277108433738,326,13
184.92469879518075,531,14
187.9066265060241,948,28
190.88855421686748,1414,44
193.87048192771084,1975,66
196.85240963855424,2259,61
199.8343373493976,2126,83
202.816265060241,1480,60
205.79819277108436,927,54
208.78012048192772,472,22
211.7620481927711,202,20
214.74397590361446,125,10
217.72590361445785,111,5
220.7078313253012,101,3
223.6897590361446,114,4
226.67168674698797,101,4
229.65361445783134,99,2
232.6355421686747,117,2
235.6174698795181,77,1
238.59939759036146,100,3
241.58132530120483,93,3
244.56325301204822,92,4
247.5451807228916,102,5
250.52710843373495,119,1
253.50903614457832,82,3
256.4909638554217,98,2
259.47289156626505,72,1
262.4548192771084,86,3
265.43674698795184,105,2
268.4186746987952,75,2
271.40060240963857,82,1
274.38253012048193,106,1
277.36445783132535,66,4
280.3463855421687,90,0
283.3283132530121,80,2
286.31024096385545,78,4
289.2921686746988,86,2
