pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,200,185
11.972891566265062,179,114
14.954819277108435,194,107
17.936746987951807,165,133
20.918674698795183,162,136
23.900602409638555,209,163
26.88253012048193,272,217
29.864457831325304,288,242
32.846385542168676,342,247
35.82831325301205,327,345
38.81024096385542,433,363
41.7921686746988,559,387
44.774096385542165,553,412
47.756024096385545,644,490
50.737951807228924,676,587
53.71987951807229,824,683
56.70180722891567,904,716
59.683734939759034,989,747
62.665662650602414,1067,763
65.6475903614458,1101,853
68.62951807228916,1288,816
71.61144578313252,1445,908
74.59337349397592,1548,989
77.57530120481928,1604,1077
80.55722891566265,1558,1018
83.53915662650603,1525,966
86.52108433734941,1370,890
89.50301204819277,1457,811
92.48493975903615,1413,840
95.46686746987953,1330,786
98.4487951807229,1302,666
101.43072289156626,1222,718
104.41265060240966,1149,633
107.39457831325302,1126,650
110.37650602409639,1044,558
113.35843373493977,1081,536
116.34036144578315,981,480
119.32228915662651,1072,494
122.30421686746989,982,493
125.28614457831327,934,469
128.26807228915663,977,463
131.25,947,430
134.23192771084337,893,410
137.21385542168676,760,387
140.19578313253012,720,341
143.17771084337352,595,310
146.15963855421688,571,307
149.14156626506025,541,289
152.1234939759036,484,238
155.105421686747,494,240
158.08734939759037,410,235
161.06927710843374,422,178
164.05120481927713,407,182
167.0331325301205,374,184
170.01506024096386,375,181
172.99698795180723,398,180
175.97891566265062,366,154
178.960843373494,358,172
181.94277108433738,332,156
184.92469879518075,349,163
187.9066265060241,346,191
190.88855421686748,418,191
193.87048192771084,465,215
196.85240963855424,706,285
199.8343373493976,1139,473
202.816265060241,1981,762
205.79819277108436,2955,1145
208.78012048192772,4102,1484
211.7620481927711,4578,1570
214.74397590361446,4302,1523
217.72590361445785,3266,1101
220.7078313253012,1999,721
223.6897590361446,986,408
226.67168674698797,489,244
229.65361445783134,252,126
232.6355421686747,222,103
235.6174698795181,173,102
238.59939759036146,173,87
241.58132530120483,195,112
244.56325301204822,186,96
247.5451807228916,164,108
250.52710843373495,180,95
253.50903614457832,178,66
256.4909638554217,167,94
259.47289156626505,158,100
262.4548192771084,176,80
265.43674698795184,159,80
268.4186746987952,149,79
271.40060240963857,195,63
274.38253012048193,170,88
277.36445783132535,147,78
280.3463855421687,148,57
283.3283132530121,160,68
286.31024096385545,155,79
289.2921686746988,191,74
292.2740963855422,170,55
295.25602409638554,161,76
298.2379518072289,149,56
301.21987951807233,142,66
304.2018072289157,162,68
307.18373493975906,132,64
310.1656626506024,149,74
313.1475903614458,136,59
316.12951807228916,157,63
319.1114457831326,148,64
322.09337349397595,159,66
325.0753012048193,156,62
328.0572289156627,161,65
331.03915662650604,164,65
334.0210843373494,138,67
337.0030120481928,146,56
