pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,107,10
11.972891566265062,112,16
14.954819277108435,96,12
17.936746987951807,99,11
20.918674698795183,92,20
23.900602409638555,135,17
26.88253012048193,153,21
29.864457831325304,205,25
32.846385542168676,196,37
35.82831325301205,215,26
38.81024096385542,337,25
41.7921686746988,340,30
44.774096385542165,365,32
47.756024096385545,425,34
50.737951807228924,517,28
53.71987951807229,562,39
56.70180722891567,705,42
59.683734939759034,813,23
62.665662650602414,852,35
65.6475903614458,919,24
68.62951807228916,1016,27
71.61144578313252,1019,44
74.59337349397592,998,41
77.57530120481928,981,25
80.55722891566265,954,37
83.53915662650603,889,26
86.52108433734941,898,25
89.50301204819277,883,14
92.48493975903615,808,15
95.46686746987953,809,26
98.4487951807229,753,15
101.43072289156626,741,14
104.41265060240966,652,16
107.39457831325302,629,18
110.37650602409639,633,14
113.35843373493977,600,13
116.34036144578315,596,15
119.32228915662651,624,10
122.30421686746989,589,12
125.28614457831327,571,11
128.26807228915663,471,9
131.25,412,8
134.23192771084337,407,12
137.21385542168676,378,6
140.19578313253012,354,7
143.17771084337352,321,7
146.15963855421688,305,6
149.14156626506025,286,6
152.1234939759036,267,8
155.105421686747,289,11
158.08734939759037,256,9
161.06927710843374,272,10
164.05120481927713,289,5
167.0331325301205,257,8
170.01506024096386,254,9
172.99698795180723,268,5
175.97891566265062,248,10
178.960843373494,305,10
181.94277108433738,398,10
184.92469879518075,648,11
187.9066265060241,1094,14
190.88855421686748,1717,24
193.87048192771084,2383,29
196.85240963855424,2674,44
199.8343373493976,2480,45
202.816265060241,1793,36
205.79819277108436,1083,27
208.78012048192772,496,22
211.7620481927711,211,6
214.74397590361446,155,2
217.72590361445785,139,4
220.7078313253012,124,3
223.6897590361446,133,4
226.67168674698797,106,1
229.65361445783134,128,2
232.6355421686747,118,1
235.6174698795181,112,1
238.59939759036146,117,4
241.58132530120483,120,1
244.56325301204822,110,2
247.5451807228916,93,4
250.52710843373495,108,4
253.50903614457832,122,2
256.4909638554217,104,2
259.47289156626505,116,3
262.4548192771084,109,2
265.43674698795184,98,1
268.4186746987952,98,3
271.40060240963857,89,1
274.38253012048193,86,2
277.36445783132535,109,3
280.3463855421687,97,1
283.3283132530121,78,2
286.31024096385545,101,2
289.2921686746988,120,0
292.2740963855422,107,2
295.25602409638554,110,3
298.2379518072289,107,2
301.21987951807233,106,3
304.2018072289157,111,2
307.18373493975906,99,2
310.1656626506024,97,1
313.1475903614458,115,1
316.12951807228916,112,6
319.1114457831326,101,2
322.09337349397595,90,2
325.0753012048193,98,4
328.0572289156627,103,1
331.03915662650604,110,2
334.0210843373494,113,2
337.0030120481928,103,0
339.98493975903614,112,4
342.96686746987956,101,2
345.9487951807229,143,2
348.9307228915663,98,2
351.91265060240966,107,3
354.894578313253,106,4
357.87650602409644,110,2
360.8584337349398,115,5
363.8403614457832,114,0
366.82228915662654,119,4
369.8042168674699,123,1
372.78614457831327,124,3
375.76807228915663,111,1
378.75,101,3
381.7319277108434,97,3
384.7138554216868,97,1
387.69578313253015,96,3
390.6777108433735,99,3
393.6596385542169,59,5
396.64156626506025,62,1
399.62349397590367,50,1
402.60542168674704,64,1
405.5873493975904,36,0
408.56927710843377,49,1
411.55120481927713,51,0
414.5331325301205,31,1
417.51506024096386,26,0
420.4969879518072,33,0
423.47891566265065,35,0
426.460843373494,24,0
429.4427710843374,15,0
432.42469879518075,30,0
435.4066265060241,33,0
438.38855421686753,22,3
441.3704819277109,20,0
444.35240963855426,25,0
447.33433734939763,29,0
450.316265060241,51,1
453.29819277108436,70,0
456.2801204819277,107,1
459.2620481927711,132,3
462.2439759036145,180,2
465.2259036144579,250,3
468.20783132530124,325,5
471.1897590361446,340,5
474.171686746988,405,5
477.15361445783134,347,6
480.13554216867476,322,4
483.1174698795181,288,6
486.0993975903615,199,7
489.08132530120486,152,3
492.0632530120482,91,4
495.0451807228916,65,3
498.02710843373495,46,3
501.0090361445783,17,1
503.99096385542174,21,1
506.9728915662651,9,1
509.95481927710847,6,0
512.9367469879518,10,1
515.9186746987951,8,0
518.9006024096386,11,0
521.882530120482,12,0
524.8644578313254,15,0
527.8463855421687,12,0
530.8283132530121,15,1
533.8102409638554,20,1
536.7921686746988,25,0
539.7740963855422,23,0
542.7560240963855,17,0
545.7379518072289,16,2
548.7198795180723,19,0
551.7018072289158,19,0
554.6837349397591,12,0
557.6656626506025,16,1
560.6475903614459,7,0
563.6295180722892,10,1
566.6114457831326,11,0
569.593373493976,4,0
572.5753012048193,9,0
575.5572289156627,5,0
578.539156626506,4,0
581.5210843373494,4,0
584.5030120481928,4,0
587.4849397590361,2,0
590.4668674698796,2,1
593.448795180723,2,1
596.4307228915663,5,0
599.4126506024097,2,0
602.3945783132531,7,0
605.3765060240964,3,0
608.3584337349398,6,0
611.3403614457832,2,0
614.3222891566265,5,0
617.3042168674699,2,0
620.2861445783133,0,1
623.2680722891566,5,0
626.25,4,0
629.2319277108434,2,0
632.2138554216868,5,1
635.1957831325302,4,0
638.1777108433736,3,0
641.1596385542169,6,0
644.1415662650603,7,0
647.1234939759037,2,0
650.105421686747,2,0
653.0873493975904,2,0
656.0692771084338,1,0
659.0512048192771,3,0
662.0331325301205,3,0
665.0150602409639,5,0
667.9969879518072,6,0
670.9789156626507,4,0
673.9608433734941,4,0
676.9427710843374,3,0
679.9246987951808,4,0
682.9066265060242,3,1
685.8885542168675,3,0
688.8704819277109,2,1
691.8524096385543,2,0
694.8343373493976,0,0
697.816265060241,1,0
700.7981927710844,2,0
703.7801204819277,2,0
706.7620481927711,0,0
709.7439759036145,1,0
712.7259036144579,0,0
715.7078313253013,0,0
718.6897590361447,1,0
721.671686746988,0,0
724.6536144578314,3,0
727.6355421686748,1,1
730.6174698795181,6,0
733.5993975903615,3,1
736.5813253012049,0,0
739.5632530120482,3,0
742.5451807228916,1,0
745.527108433735,23,0
748.5090361445783,64,1
