pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,180,148
11.972891566265062,156,106
14.954819277108435,120,116
17.936746987951807,156,116
20.918674698795183,147,122
23.900602409638555,175,173
26.88253012048193,227,222
29.864457831325304,243,231
32.846385542168676,259,238
35.82831325301205,325,280
38.81024096385542,401,378
41.7921686746988,460,415
44.774096385542165,513,455
47.756024096385545,597,492
50.737951807228924,653,561
53.71987951807229,699,635
56.70180722891567,848,731
59.683734939759034,950,765
62.665662650602414,998,754
65.6475903614458,1074,806
68.62951807228916,1223,831
71.61144578313252,1307,905
74.59337349397592,1459,1016
77.57530120481928,1501,1062
80.55722891566265,1490,1096
83.53915662650603,1326,975
86.52108433734941,1306,886
89.50301204819277,1216,931
92.48493975903615,1228,810
95.46686746987953,1190,820
98.4487951807229,1180,777
101.43072289156626,1042,789
104.41265060240966,1034,644
107.39457831325302,915,666
110.37650602409639,954,607
113.35843373493977,875,596
116.34036144578315,879,561
119.32228915662651,874,557
122.30421686746989,817,524
125.28614457831327,784,492
128.26807228915663,810,493
131.25,843,486
134.23192771084337,723,490
137.21385542168676,719,397
140.19578313253012,611,362
143.17771084337352,525,287
146.15963855421688,490,321
149.14156626506025,452,287
152.1234939759036,451,271
155.105421686747,402,232
158.08734939759037,338,237
161.06927710843374,400,206
164.05120481927713,387,218
167.0331325301205,369,198
170.01506024096386,348,189
172.99698795180723,380,185
175.97891566265062,372,203
178.960843373494,347,205
181.94277108433738,359,179
184.92469879518075,382,214
187.9066265060241,330,187
190.88855421686748,410,179
193.87048192771084,436,248
196.85240963855424,643,346
199.8343373493976,930,536
202.816265060241,1638,881
205.79819277108436,2373,1365
208.78012048192772,3306,1569
211.7620481927711,3623,1704
214.74397590361446,3255,1673
217.72590361445785,2591,1230
220.7078313253012,1526,827
223.6897590361446,806,478
226.67168674698797,401,267
229.65361445783134,219,158
232.6355421686747,175,110
235.6174698795181,157,93
238.59939759036146,174,89
241.58132530120483,170,80
244.56325301204822,168,97
247.5451807228916,173,100
250.52710843373495,150,96
253.50903614457832,159,92
256.4909638554217,139,92
259.47289156626505,141,87
262.4548192771084,187,83
265.43674698795184,143,70
268.4186746987952,136,79
271.40060240963857,133,68
274.38253012048193,126,91
277.36445783132535,132,74
280.3463855421687,142,67
283.3283132530121,140,65
286.31024096385545,133,72
289.2921686746988,138,67
292.2740963855422,144,69
295.25602409638554,122,72
298.2379518072289,127,66
301.21987951807233,135,74
304.2018072289157,129,71
307.18373493975906,100,59
310.1656626506024,148,64
313.1475903614458,109,71
316.12951807228916,124,68
319.1114457831326,135,68
322.09337349397595,135,75
325.0753012048193,133,57
328.0572289156627,147,71
331.03915662650604,133,84
334.0210843373494,135,72
337.0030120481928,145,69
339.98493975903614,127,65
342.96686746987956,128,95
345.9487951807229,143,73
348.9307228915663,132,78
351.91265060240966,136,75
354.894578313253,134,64
357.87650602409644,132,76
360.8584337349398,186,63
363.8403614457832,138,73
366.82228915662654,153,76
369.8042168674699,125,102
372.78614457831327,136,68
375.76807228915663,161,75
378.75,129,69
381.7319277108434,146,79
384.7138554216868,147,87
387.69578313253015,150,71
390.6777108433735,122,66
393.6596385542169,159,85
396.64156626506025,152,69
399.62349397590367,160,73
402.60542168674704,175,91
405.5873493975904,173,86
408.56927710843377,157,73
411.55120481927713,121,63
414.5331325301205,123,53
417.51506024096386,113,55
420.4969879518072,81,42
423.47891566265065,88,46
426.460843373494,80,37
429.4427710843374,87,40
432.42469879518075,80,31
435.4066265060241,61,27
438.38855421686753,50,35
441.3704819277109,44,34
444.35240963855426,43,32
447.33433734939763,52,30
450.316265060241,57,21
453.29819277108436,31,24
456.2801204819277,32,29
459.2620481927711,45,16
462.2439759036145,33,23
465.2259036144579,37,13
468.20783132530124,30,15
471.1897590361446,31,19
474.171686746988,28,15
477.15361445783134,34,17
480.13554216867476,49,13
483.1174698795181,63,22
486.0993975903615,76,29
489.08132530120486,58,50
492.0632530120482,125,67
495.0451807228916,199,98
498.02710843373495,269,123
501.0090361445783,321,166
503.99096385542174,394,177
506.9728915662651,507,209
509.95481927710847,496,202
512.9367469879518,455,279
515.9186746987951,411,216
518.9006024096386,365,178
521.882530120482,270,156
524.8644578313254,202,117
527.8463855421687,165,93
530.8283132530121,106,58
533.8102409638554,53,46
536.7921686746988,36,30
539.7740963855422,27,32
542.7560240963855,20,14
545.7379518072289,11,11
548.7198795180723,8,11
551.7018072289158,9,13
554.6837349397591,9,13
557.6656626506025,9,13
560.6475903614459,15,10
563.6295180722892,19,13
566.6114457831326,14,9
569.593373493976,13,15
572.5753012048193,24,7
575.5572289156627,23,17
578.539156626506,25,17
581.5210843373494,18,21
584.5030120481928,25,22
587.4849397590361,25,24
590.4668674698796,23,17
593.448795180723,23,20
596.4307228915663,14,21
599.4126506024097,18,11
602.3945783132531,7,7
605.3765060240964,12,9
608.3584337349398,5,3
611.3403614457832,5,10
614.3222891566265,6,6
617.3042168674699,10,3
620.2861445783133,7,7
623.2680722891566,10,4
626.25,4,3
629.2319277108434,7,3
632.2138554216868,1,2
635.1957831325302,6,3
638.1777108433736,6,4
641.1596385542169,6,5
644.1415662650603,8,3
647.1234939759037,8,2
650.105421686747,8,1
653.0873493975904,8,3
656.0692771084338,4,0
659.0512048192771,6,5
662.0331325301205,4,4
665.0150602409639,7,0
667.9969879518072,2,3
670.9789156626507,4,1
673.9608433734941,3,3
676.9427710843374,3,2
679.9246987951808,5,5
682.9066265060242,5,4
685.8885542168675,4,2
688.8704819277109,5,4
691.8524096385543,7,2
694.8343373493976,7,2
697.816265060241,3,4
700.7981927710844,1,1
703.7801204819277,3,4
706.7620481927711,6,2
709.7439759036145,7,4
712.7259036144579,3,2
715.7078313253013,8,4
718.6897590361447,3,2
721.671686746988,3,1
724.6536144578314,6,1
727.6355421686748,8,4
730.6174698795181,2,2
733.5993975903615,2,2
736.5813253012049,3,4
739.5632530120482,1,2
742.5451807228916,2,2
745.527108433735,11,57
748.5090361445783,85,159
