pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,121,11
11.972891566265062,93,12
14.954819277108435,109,12
17.936746987951807,103,9
20.918674698795183,108,14
23.900602409638555,103,16
26.88253012048193,166,23
29.864457831325304,172,17
32.846385542168676,181,18
35.82831325301205,219,25
38.81024096385542,323,30
41.7921686746988,370,23
44.774096385542165,401,28
47.756024096385545,412,32
50.737951807228924,478,30
53.71987951807229,551,25
56.70180722891567,662,17
59.683734939759034,641,24
62.665662650602414,740,28
65.6475903614458,855,17
68.62951807228916,865,24
71.61144578313252,942,27
74.59337349397592,911,23
77.57530120481928,861,27
80.55722891566265,829,22
83.53915662650603,783,19
86.52108433734941,743,24
89.50301204819277,743,18
92.48493975903615,714,8
95.46686746987953,711,17
98.4487951807229,599,10
101.43072289156626,583,11
104.41265060240966,562,12
107.39457831325302,565,8
110.37650602409639,458,15
113.35843373493977,548,10
116.34036144578315,457,7
119.32228915662651,469,8
122.30421686746989,495,14
125.28614457831327,419,9
128.26807228915663,407,4
131.25,343,9
134.23192771084337,300,2
137.21385542168676,269,9
140.19578313253012,250,5
143.17771084337352,246,6
146.15963855421688,219,5
149.14156626506025,235,4
152.1234939759036,201,2
155.105421686747,187,2
158.08734939759037,183,4
161.06927710843374,202,8
164.05120481927713,173,4
167.0331325301205,166,5
170.01506024096386,186,5
172.99698795180723,190,4
175.97891566265062,216,7
178.960843373494,222,6
181.94277108433738,293,2
184.92469879518075,498,6
187.9066265060241,780,8
190.88855421686748,1309,17
193.87048192771084,1674,32
196.85240963855424,1951,32
199.8343373493976,1779,32
202.816265060241,1265,25
205.79819277108436,731,23
208.78012048192772,368,8
211.7620481927711,164,8
214.74397590361446,101,4
217.72590361445785,90,2
220.7078313253012,90,2
223.6897590361446,83,3
226.67168674698797,87,2
229.65361445783134,91,3
232.6355421686747,90,2
235.6174698795181,87,0
238.59939759036146,84,3
241.58132530120483,65,0
244.56325301204822,82,3
247.5451807228916,83,1
250.52710843373495,93,2
253.50903614457832,77,2
256.4909638554217,72,2
259.47289156626505,76,3
262.4548192771084,74,1
265.43674698795184,70,2
268.4186746987952,78,1
271.40060240963857,74,1
274.38253012048193,64,1
277.36445783132535,65,1
280.3463855421687,64,0
283.3283132530121,68,0
286.31024096385545,80,4
289.2921686746988,64,1
292.2740963855422,61,1
295.25602409638554,69,1
298.2379518072289,71,0
301.21987951807233,75,1
304.2018072289157,64,2
307.18373493975906,75,2
310.1656626506024,60,1
313.1475903614458,73,2
316.12951807228916,76,2
319.1114457831326,86,3
322.09337349397595,69,2
325.0753012048193,60,0
328.0572289156627,57,2
331.03915662650604,77,1
334.0210843373494,69,1
337.0030120481928,94,2
339.98493975903614,74,2
342.96686746987956,93,1
345.9487951807229,76,2
348.9307228915663,70,0
351.91265060240966,69,4
354.894578313253,81,0
357.87650602409644,91,0
360.8584337349398,77,1
363.8403614457832,85,2
366.82228915662654,69,2
369.8042168674699,72,2
372.78614457831327,55,1
375.76807228915663,70,2
378.75,69,1
381.7319277108434,79,0
384.7138554216868,68,1
387.69578313253015,59,4
390.6777108433735,50,1
393.6596385542169,60,3
396.64156626506025,53,0
399.62349397590367,48,2
402.60542168674704,31,1
405.5873493975904,41,0
408.56927710843377,25,0
411.55120481927713,28,0
414.5331325301205,25,2
417.51506024096386,25,0
420.4969879518072,27,2
423.47891566265065,22,0
426.460843373494,29,0
429.4427710843374,21,1
432.42469879518075,19,0
435.4066265060241,18,0
438.38855421686753,14,0
441.3704819277109,16,1
444.35240963855426,20,0
447.33433734939763,18,0
450.316265060241,33,2
453.29819277108436,49,0
456.2801204819277,50,0
459.2620481927711,73,0
462.2439759036145,102,0
465.2259036144579,139,2
468.20783132530124,197,1
471.1897590361446,235,1
474.171686746988,235,3
477.15361445783134,222,5
480.13554216867476,218,5
483.1174698795181,190,4
486.0993975903615,142,4
489.08132530120486,92,2
492.0632530120482,62,1
495.0451807228916,42,0
498.02710843373495,19,1
501.0090361445783,14,1
503.99096385542174,11,0
506.9728915662651,8,1
509.95481927710847,13,0
512.9367469879518,9,0
515.9186746987951,7,0
518.9006024096386,8,0
521.882530120482,9,0
524.8644578313254,9,0
527.8463855421687,12,0
530.8283132530121,12,0
533.8102409638554,12,0
536.7921686746988,17,1
539.7740963855422,26,0
542.7560240963855,15,1
545.7379518072289,24,1
548.7198795180723,22,0
551.7018072289158,12,0
554.6837349397591,13,0
557.6656626506025,11,0
560.6475903614459,4,0
563.6295180722892,7,1
566.6114457831326,6,1
569.593373493976,4,0
572.5753012048193,7,0
575.5572289156627,4,0
578.539156626506,3,0
581.5210843373494,4,0
584.5030120481928,1,0
587.4849397590361,7,0
590.4668674698796,1,0
593.448795180723,9,0
596.4307228915663,1,0
599.4126506024097,1,0
602.3945783132531,4,0
605.3765060240964,1,0
608.3584337349398,1,0
611.3403614457832,2,1
614.3222891566265,1,0
617.3042168674699,0,0
